Most important phishing n_grams
1143. 6/bf - freq: 28
1144. 62e9 - freq: 28
1145. rder - freq: 28
1146. ils. - freq: 28
1147. b73b - freq: 28
1148. nal. - freq: 28
1149. nfir - freq: 28
1150. .1&e - freq: 28
1151. .13ý - freq: 28
1152. etw. - freq: 28
1153. al.h - freq: 28
1154. sets - freq: 28
1155. arth - freq: 28
1156. asrf - freq: 28
1157. fasr - freq: 28
1158. srfg - freq: 28
1159. srgh - freq: 28
1160. 365/ - freq: 27
1161. sset - freq: 27
1162. d&di - freq: 27
1163. //.c - freq: 27
1164. //.l - freq: 27
1165. on=4 - freq: 27
1166. on=9 - freq: 27
1167. on=e - freq: 27
1168. oo/y - freq: 27
1169. ýd.h - freq: 27
1170. m.au - freq: 27
1171. m/se - freq: 27
1172. tive - freq: 27
1173. .au/ - freq: 27
1174. .cf/ - freq: 27
1175. r/si - freq: 27
1176. .ran - freq: 27
1177. proc - freq: 27
1178. ult/ - freq: 27
1179. /blo - freq: 27
1180. /boa - freq: 27
1181. /fon - freq: 27
1182. df8a - freq: 27
1183. s/in - freq: 27
1184. /ser - freq: 27
1185. o/ya - freq: 27
1186. ice/ - freq: 27
1187. voic - freq: 27
1188. il.c - freq: 27
1189. ile- - freq: 27
1190. ios. - freq: 27
1191. navy - freq: 27
1192. roce - freq: 27
1193. g.ph - freq: 27
1194. erpa - freq: 27
1195. alid - freq: 27
1196. arep - freq: 27
1197. asic - freq: 27
1198. atb/ - freq: 27
1199. ates - freq: 27
1200. oces - freq: 27
1201. -com - freq: 27
1202. oint - freq: 26
1203. //de - freq: 26
1204. //mu - freq: 26
1205. ooks - freq: 26
1206. -pay - freq: 26
1207. =177 - freq: 26
1208. .int - freq: 26
1209. =73b - freq: 26
1210. poin - freq: 26
1211. prod - freq: 26
1212. e/fr - freq: 26
1213. co.k - freq: 26
1214. e/ya - freq: 26
1215. code - freq: 26
1216. lida - freq: 26
1217. limi - freq: 26
1218. /ama - freq: 26
1219. /del - freq: 26
1220. /doc - freq: 26
1221. n=17 - freq: 26
1222. hp?a - freq: 26
1223. /itu - freq: 26
1224. matc - freq: 26
1225. /wor - freq: 26
1226. idat - freq: 26
1227. il.r - freq: 26
1228. repo - freq: 26
1229. illi - freq: 26
1230. imit - freq: 26
1231. ng.p - freq: 26
1232. rt-o - freq: 26
1233. 5b73 - freq: 26
1234. emen - freq: 26
1235. acti - freq: 26
1236. esti - freq: 26
1237. c162 - freq: 26
1238. 732e - freq: 26
1239. app/ - freq: 26
1240. spx? - freq: 26
1241. stor - freq: 25
1242. l=pa - freq: 25
1243. oice - freq: 25
1244. 6e65 - freq: 25
1245. beau - freq: 25
1246. bill - freq: 25
1247. temp - freq: 25
1248. ?n=1 - freq: 25
1249. ther - freq: 25
1250. ks/s - freq: 25
1251. pal/ - freq: 25
1252. .do/ - freq: 25
1253. .id/ - freq: 25
1254. ccj. - freq: 25
1255. ch=8 - freq: 25
1256. cj.o - freq: 25
1257. le.i - freq: 25
1258. .ru/ - freq: 25
1259. prof - freq: 25
1260. co.i - freq: 25
1261. px?n - freq: 25
1262. cret - freq: 25
1263. cu/m - freq: 25
1264. /bin - freq: 25
1265. ly.c - freq: 25
1266. j.or - freq: 25
1267. dani - freq: 25
1268. /m/i - freq: 25
1269. /net - freq: 25
1270. /pro - freq: 25
1271. 1756 - freq: 25
1272. mite - freq: 25
1273. o.ph - freq: 25
1274. o/st - freq: 25
1275. im/3 - freq: 25
1276. rg.d - freq: 25
1277. rese - freq: 25
1278. 9c75 - freq: 25
1279. eart - freq: 25
1280. eaut - freq: 25
1281. x?n= - freq: 25
1282. nedr - freq: 25
1283. g.do - freq: 25
1284. g/wp - freq: 25
1285. niel - freq: 25
1286. niti - freq: 25
1287. es/g - freq: 25
1288. essý - freq: 25
1289. etli - freq: 25
1290. amil - freq: 25
1291. anie - freq: 25
1292. ezza - freq: 25
1293. ntru - freq: 25
1294. fa/b - freq: 25
1295. l.se - freq: 25
1296. 75b7 - freq: 25
1297. ata/ - freq: 25
1298. auty - freq: 25
1299. u/m/ - freq: 25
1300. st.c - freq: 24
1301. 3696 - freq: 24
1302. &.ra - freq: 24
1303. bc7a - freq: 24
1304. 6e50 - freq: 24
1305. //.r - freq: 24
1306. om/f - freq: 24
1307. oks/ - freq: 24
1308. /.mu - freq: 24
1309. on=6 - freq: 24
1310. on=8 - freq: 24
1311. on=c - freq: 24
1312. ompt - freq: 24
1313. biz/ - freq: 24
1314. os.t - freq: 24
1315. d.xy - freq: 24
1316. z/pu - freq: 24
1317. ous- - freq: 24
1318. tepc - freq: 24
1319. ýle/ - freq: 24
1320. bsc_ - freq: 24
1321. m/ne - freq: 24
1322. ozo. - freq: 24
1323. tlim - freq: 24
1324. gido - freq: 24
1325. pcox - freq: 24
1326. ca/7 - freq: 24
1327. .fer - freq: 24
1328. cc/o - freq: 24
1329. twor - freq: 24
1330. 0057 - freq: 24
1331. r/sa - freq: 24
1332. guav - freq: 24
1333. le/y - freq: 24
1334. .pro - freq: 24
1335. 0595 - freq: 24
1336. .ser - freq: 24
1337. e/se - freq: 24
1338. a%20 - freq: 24
1339. uava - freq: 24
1340. purc - freq: 24
1341. conn - freq: 24
1342. .x=n - freq: 24
1343. ll/z - freq: 24
1344. .x=ý - freq: 24
1345. ysec - freq: 24
1346. lper - freq: 24
1347. yz/p - freq: 24
1348. a.ht - freq: 24
1349. us-v - freq: 24
1350. urch - freq: 24
1351. urez - freq: 24
1352. 56c9 - freq: 24
1353. /gua - freq: 24
1354. zawe - freq: 24
1355. /hoo - freq: 24
1356. utys - freq: 24
1357. hook - freq: 24
1358. derf - freq: 24
1359. s.ti - freq: 24
1360. s/gu - freq: 24
1361. s/sa - freq: 24
1362. /pur - freq: 24
1363. ://l - freq: 24
1364. va/i - freq: 24
1365. 1620 - freq: 24
1366. zleg - freq: 24
1367. zo.c - freq: 24
1368. zo/s - freq: 24
1369. icur - freq: 24
1370. mpte - freq: 24
1371. ido. - freq: 24
1372. ielp - freq: 24
1373. ient - freq: 24
1374. zzaw - freq: 24
1375. rcha - freq: 24
1376. re.c - freq: 24
1377. retl - freq: 24
1378. rezz - freq: 24
1379. rezl - freq: 24
1380. in.h - freq: 24
1381. ed.x - freq: 24
1382. ebsc - freq: 24
1383. ecre - freq: 24
1384. rfýl - freq: 24
1385. egid - freq: 24
1386. nc/h - freq: 24
1387. x=nl - freq: 24
1388. rozo - freq: 24
1389. nect - freq: 24
1390. elpe - freq: 24
1391. nfo. - freq: 24
1392. eord - freq: 24
1393. epco - freq: 24
1394. er/s - freq: 24
1395. epoi - freq: 24
1396. erez - freq: 24
1397. erfý - freq: 24
1398. eroz - freq: 24
1399. nnec - freq: 24
1400. etwo - freq: 24
1401. al.s - freq: 24
1402. c/ho - freq: 24
1403. ezle - freq: 24
1404. 756e - freq: 24
1405. secr - freq: 24
1406. seor - freq: 24
1407. aseo - freq: 24
1408. l/zo - freq: 24
1409. ate= - freq: 24
1410. sicu - freq: 24
1411. ava/ - freq: 24
1412. aweb - freq: 24
1413. fero - freq: 24
1414. ffff - freq: 24
1415. obe/ - freq: 24
1416. 6e74 - freq: 23
1417. on=0 - freq: 23
1418. //be - freq: 23
1419. //ch - freq: 23
1420. //cc - freq: 23
1421. ýd-p - freq: 23
1422. d.4. - freq: 23
1423. blog - freq: 23
1424. te.h - freq: 23
1425. te-p - freq: 23
1426. =ýd- - freq: 23
1427. ter. - freq: 23
1428. m/cs - freq: 23
1429. m/ho - freq: 23
1430. =&.r - freq: 23
1431. tifi - freq: 23
1432. 4.12 - freq: 23
1433. .c16 - freq: 23
1434. ca/b - freq: 23
1435. ca/3 - freq: 23
1436. 4696 - freq: 23
1437. trus - freq: 23
1438. .ios - freq: 23
1439. .jp/ - freq: 23
1440. ploa - freq: 23
1441. ch=d - freq: 23
1442. le.c - freq: 23
1443. e-pa - freq: 23
1444. e.c1 - freq: 23
1445. e.io - freq: 23
1446. e/ad - freq: 23
1447. ymen - freq: 23
1448. .tk/ - freq: 23
1449. 5&di - freq: 23
1450. .x=- - freq: 23
1451. 95.f - freq: 23
1452. n/lo - freq: 23
1453. 96c6 - freq: 23
1454. look - freq: 23
1455. 5.fe - freq: 23
1456. ules - freq: 23
1457. up-d - freq: 23
1458. /ccj - freq: 23
1459. /com - freq: 23
1460. uplo - freq: 23
1461. 1&ra - freq: 23
1462. n=12 - freq: 23
1463. usin - freq: 23
1464. 595. - freq: 23
1465. /loa - freq: 23
1466. /mul - freq: 23
1467. do/i - freq: 23
1468. /up- - freq: 23
1469. /upl - freq: 23
1470. mily - freq: 23
1471. id.4 - freq: 23
1472. 6174 - freq: 23
1473. il.h - freq: 23
1474. il/l - freq: 23
1475. im/7 - freq: 23
1476. inc. - freq: 23
1477. =nl& - freq: 23
1478. int/ - freq: 23
1479. edri - freq: 23
1480. n_nl - freq: 23
1481. 2059 - freq: 23
1482. x=-& - freq: 23
1483. nc.p - freq: 23
1484. nati - freq: 23
1485. itia - freq: 23
1486. nd.1 - freq: 23
1487. en_n - freq: 23
1488. x=ýd - freq: 23
1489. rust - freq: 23
1490. acct - freq: 23
1491. adf1 - freq: 23
1492. ads/ - freq: 23
1493. p-da - freq: 23
1494. .1&r - freq: 23
1495. age. - freq: 23
1496. .4.1 - freq: 23
1497. c.pa - freq: 23
1498. y.ph - freq: 23
1499. fami - freq: 23
1500. auto - freq: 23
1501. site - freq: 23
1502. ayme - freq: 23
1503. just - freq: 23
1504. fo.p - freq: 22
1505. sunt - freq: 22
1506. be/a - freq: 22
1507. fr/s - freq: 22
1508. oken - freq: 22
1509. om.r - freq: 22
1510. on=2 - freq: 22
1511. on=3 - freq: 22
1512. on=5 - freq: 22
1513. //su - freq: 22
1514. ?aut - freq: 22
1515. kdns - freq: 22
1516. d-fc - freq: 22
1517. -ser - freq: 22
1518. otp/ - freq: 22
1519. te.c - freq: 22
1520. test - freq: 22
1521. m.co - freq: 22
1522. m.ru - freq: 22
1523. =$1$ - freq: 22
1524. m/jo - freq: 22
1525. paym - freq: 22
1526. .ban - freq: 22
1527. .bea - freq: 22
1528. tp/s - freq: 22
1529. toke - freq: 22
1530. 0&am - freq: 22
1531. 0&di - freq: 22
1532. .duc - freq: 22
1533. peni - freq: 22
1534. cbbf - freq: 22
1535. 0014 - freq: 22
1536. 0140 - freq: 22
1537. .onl - freq: 22
1538. .pl/ - freq: 22
1539. ckdn - freq: 22
1540. clie - freq: 22
1541. lien - freq: 22
1542. uckd - freq: 22
1543. e746 - freq: 22
1544. 5.ph - freq: 22
1545. /err - freq: 22
1546. ured - freq: 22
1547. usaa - freq: 22
1548. hp?s - freq: 22
1549. /jod - freq: 22
1550. delt - freq: 22
1551. 1.ht - freq: 22
1552. s/ac - freq: 22
1553. /mic - freq: 22
1554. s/fo - freq: 22
1555. /nav - freq: 22
1556. me/f - freq: 22
1557. 1746 - freq: 22
1558. done - freq: 22
1559. dor/ - freq: 22
1560. /ven - freq: 22
1561. vend - freq: 22
1562. dren - freq: 22
1563. o.kr - freq: 22
1564. s=$1 - freq: 22
1565. duck - freq: 22
1566. mobi - freq: 22
1567. t%20 - freq: 22
1568. x2.h - freq: 22
1569. repl - freq: 22
1570. ings - freq: 22
1571. ive- - freq: 22
1572. iver - freq: 22
1573. endo - freq: 22
1574. enid - freq: 22
1575. er.c - freq: 22
1576. nl&l - freq: 22
1577. es/n - freq: 22
1578. es/m - freq: 22
1579. eral - freq: 22
1580. l&lo - freq: 22
1581. ns.o - freq: 22
1582. 1bb5 - freq: 22
1583. 7369 - freq: 22
1584. 3&di - freq: 22
1585. as.c - freq: 22
1586. c4f9 - freq: 22
1587. jod- - freq: 22
1588. fcc/ - freq: 22
1589. 3.ht - freq: 22
1590. -acc - freq: 22
1591. oads - freq: 22
1592. oadi - freq: 22
1593. od-f - freq: 22
1594. -fcc - freq: 22
1595. ster - freq: 21
1596. 8&di - freq: 21
1597. //.v - freq: 21
1598. bes/ - freq: 21
1599. //co - freq: 21
1600. -ppl - freq: 21
1601. d-pp - freq: 21
1602. -sig - freq: 21
1603. 4#n= - freq: 21
1604. tloo - freq: 21
1605. d=4# - freq: 21
1606. pass - freq: 21
1607. ghfa - freq: 21
1608. =-&a - freq: 21
1609. .cl/ - freq: 21
1610. ca/a - freq: 21
1611. ca/2 - freq: 21
1612. try= - freq: 21
1613. =125 - freq: 21
1614. card - freq: 21
1615. .inf - freq: 21
1616. =4#n - freq: 21
1617. cct. - freq: 21
1618. .kr/ - freq: 21
1619. r.ph - freq: 21
1620. ch=f - freq: 21
1621. cibc - freq: 21
1622. ppl= - freq: 21
1623. club - freq: 21
1624. co.j - freq: 21
1625. live - freq: 21
1626. ct.x - freq: 21
1627. hgfa - freq: 21
1628. /car - freq: 21
1629. /cib - freq: 21
1630. /dan - freq: 21
1631. 1&di - freq: 21
1632. 5669 - freq: 21
1633. s/lo - freq: 21
1634. s/re - freq: 21
1635. s/us - freq: 21
1636. /otp - freq: 21
1637. -&ac - freq: 21
1638. medi - freq: 21
1639. /rem - freq: 21
1640. 1645 - freq: 21
1641. ver. - freq: 21
1642. o.id - freq: 21
1643. /zhi - freq: 21
1644. f6e5 - freq: 21
1645. iate - freq: 21
1646. 6175 - freq: 21
1647. re-c - freq: 21
1648. re/c - freq: 21
1649. 65/o - freq: 21
1650. in.c - freq: 21
1651. rfgd - freq: 21
1652. in/m - freq: 21
1653. ine- - freq: 21
1654. b81c - freq: 21
1655. ecte - freq: 21
1656. edir - freq: 21
1657. t.ht - freq: 21
1658. t.x= - freq: 21
1659. ront - freq: 21
1660. ndor - freq: 21
1661. #n=1 - freq: 21
1662. elta - freq: 21
1663. eply - freq: 21
1664. erti - freq: 21
1665. age/ - freq: 21
1666. est. - freq: 21
1667. agea - freq: 21
1668. nt/w - freq: 21
1669. an.c - freq: 21
1670. ank/ - freq: 21
1671. 7562 - freq: 21
1672. argh - freq: 21
1673. l.ru - freq: 21
1674. ate- - freq: 21
1675. fav= - freq: 21
1676. av=1 - freq: 21
1677. obil - freq: 21
1678. 3659 - freq: 20
1679. bb5f - freq: 20
1680. ssl& - freq: 20
1681. banc - freq: 20
1682. 3829 - freq: 20
1683. bg6/ - freq: 20
1684. fron - freq: 20
1685. bh54 - freq: 20
1686. on=b - freq: 20
1687. //ne - freq: 20
1688. ssýn - freq: 20
1689. //st - freq: 20
1690. -onl - freq: 20
1691. ken= - freq: 20
1692. z-vo - freq: 20
1693. ta.c - freq: 20
1694. -ssl - freq: 20
1695. otre - freq: 20
1696. 81c4 - freq: 20
1697. 2cd1 - freq: 20
1698. d301 - freq: 20
1699. tche - freq: 20
1700. -vot - freq: 20
1701. -vou - freq: 20
1702. owa/ - freq: 20
1703. tes/ - freq: 20
1704. tez- - freq: 20
1705. ;amp - freq: 20
1706. ýnit - freq: 20
1707. thto - freq: 20
1708. tiat - freq: 20
1709. tica - freq: 20
1710. tiva - freq: 20
1711. 89d6 - freq: 20
1712. pa32 - freq: 20
1713. toma - freq: 20
1714. tore - freq: 20
1715. ts/f - freq: 20
1716. tre- - freq: 20
1717. .in/ - freq: 20
1718. ychi - freq: 20
1719. pl=p - freq: 20
1720. ch=5 - freq: 20
1721. 044f - freq: 20
1722. ldre - freq: 20
1723. prop - freq: 20
1724. e.ph - freq: 20
1725. pte- - freq: 20
1726. 3edc - freq: 20
1727. e50b - freq: 20
1728. crpg - freq: 20
1729. llyc - freq: 20
1730. ctez - freq: 20
1731. ctiv - freq: 20
1732. sýni - freq: 20
1733. ully - freq: 20
1734. a/bo - freq: 20
1735. 50b8 - freq: 20
1736. a324 - freq: 20
1737. hild - freq: 20
1738. /des - freq: 20
1739. /g0f - freq: 20
1740. /fil - freq: 20
1741. lych - freq: 20
1742. utht - freq: 20
1743. &pro - freq: 20
1744. 8f03 - freq: 20
1745. s-vo - freq: 20
1746. s.cl - freq: 20
1747. s/se - freq: 20
1748. htok - freq: 20
1749. dhl/ - freq: 20
1750. ://v - freq: 20
1751. docu - freq: 20
1752. 4f9b - freq: 20
1753. ver0 - freq: 20
1754. mp;a - freq: 20
1755. id=7 - freq: 20
1756. f9bg - freq: 20
1757. ify/ - freq: 20
1758. 0b81 - freq: 20
1759. rd.p - freq: 20
1760. mull - freq: 20
1761. votr - freq: 20
1762. vous - freq: 20
1763. 6451 - freq: 20
1764. 0f6e - freq: 20
1765. rens - freq: 20
1766. ildr - freq: 20
1767. ily. - freq: 20
1768. eb.c - freq: 20
1769. 9bg6 - freq: 20
1770. intl - freq: 20
1771. =pa3 - freq: 20
1772. =scr - freq: 20
1773. nce. - freq: 20
1774. rpg= - freq: 20
1775. news - freq: 20
1776. rt/a - freq: 20
1777. elle - freq: 20
1778. aaf9 - freq: 20
1779. g0f6 - freq: 20
1780. rthl - freq: 20
1781. ensf - freq: 20
1782. nid. - freq: 20
1783. ace. - freq: 20
1784. er0& - freq: 20
1785. c&di - freq: 20
1786. g6/b - freq: 20
1787. p/st - freq: 20
1788. ns/s - freq: 20
1789. ez-v - freq: 20
1790. nsfa - freq: 20
1791. c/ot - freq: 20
1792. 1c4f - freq: 20
1793. anco - freq: 20
1794. scrp - freq: 20
1795. wpmb - freq: 20
1796. wrep - freq: 20
1797. sfam - freq: 20
1798. p;am - freq: 20
1799. p?au - freq: 20
1800. obes - freq: 20
1801. ssin - freq: 19
1802. //.k - freq: 19
1803. //bu - freq: 19
1804. //ca - freq: 19
1805. //sa - freq: 19
1806. one/ - freq: 19
1807. onef - freq: 19
1808. xn-- - freq: 19
1809. z/bf - freq: 19
1810. d/ma - freq: 19
1811. 2db8 - freq: 19
1812. m/a/ - freq: 19
1813. m/ma - freq: 19
1814. m/zh - freq: 19
1815. 0%20 - freq: 19
1816. .don - freq: 19
1817. c_lo - freq: 19
1818. trac - freq: 19
1819. 4647 - freq: 19
1820. true - freq: 19
1821. e%20 - freq: 19
1822. .lan - freq: 19
1823. pmbý - freq: 19
1824. cial - freq: 19
1825. n.00 - freq: 19
1826. log. - freq: 19
1827. /biz - freq: 19
1828. /ear - freq: 19
1829. bý-s - freq: 19
1830. mbý- - freq: 19
1831. /use - freq: 19
1832. f566 - freq: 19
1833. f615 - freq: 19
1834. mp;r - freq: 19
1835. idge - freq: 19
1836. 2&di - freq: 19
1837. il=& - freq: 19
1838. ý-ss - freq: 19
1839. illo - freq: 19
1840. eacc - freq: 19
1841. ec9c - freq: 19
1842. ines - freq: 19
1843. ingi - freq: 19
1844. ity/ - freq: 19
1845. net. - freq: 19
1846. 2626 - freq: 19
1847. ell- - freq: 19
1848. ent. - freq: 19
1849. nin. - freq: 19
1850. well - freq: 19
1851. al.p - freq: 19
1852. 70b1 - freq: 19
1853. ntld - freq: 19
1854. sc_l - freq: 19
1855. l/co - freq: 19
1856. ffma - freq: 19
1857. fmai - freq: 18
1858. 3962 - freq: 18
1859. fone - freq: 18
1860. fr.l - freq: 18
1861. //.d - freq: 18
1862. om/t - freq: 18
1863. /.at - freq: 18
1864. /.al - freq: 18
1865. //ba - freq: 18
1866. //al - freq: 18
1867. omas - freq: 18
1868. //ha - freq: 18
1869. -off - freq: 18
1870. bin/ - freq: 18
1871. 2f3. - freq: 18
1872. m/35 - freq: 18
1873. q==& - freq: 18
1874. bsrc - freq: 18
1875. m/pa - freq: 18
1876. m/up - freq: 18
1877. gdfr - freq: 18
1878. geac - freq: 18
1879. tldf - freq: 18
1880. part - freq: 18
1881. ca/e - freq: 18
1882. ca/4 - freq: 18
1883. ca/1 - freq: 18
1884. 4757 - freq: 18
1885. cf10 - freq: 18
1886. 0.ht - freq: 18
1887. r.la - freq: 18
1888. ch=e - freq: 18
1889. ch=b - freq: 18
1890. ch=c - freq: 18
1891. .muh - freq: 18
1892. r/wp - freq: 18
1893. ldfr - freq: 18
1894. pt/i - freq: 18
1895. .uk. - freq: 18
1896. ller - freq: 18
1897. n/si - freq: 18
1898. uhto - freq: 18
1899. lta. - freq: 18
1900. /att - freq: 18
1901. 54af - freq: 18
1902. /fin - freq: 18
1903. a757 - freq: 18
1904. dafo - freq: 18
1905. dfr/ - freq: 18
1906. dfr. - freq: 18
1907. mas. - freq: 18
1908. htom - freq: 18
1909. 156f - freq: 18
1910. f3.i - freq: 18
1911. 6&di - freq: 18
1912. f6d6 - freq: 18
1913. id/m - freq: 18
1914. 6273 - freq: 18
1915. muht - freq: 18
1916. voda - freq: 18
1917. 6474 - freq: 18
1918. il2f - freq: 18
1919. in%2 - freq: 18
1920. impl - freq: 18
1921. ebsr - freq: 18
1922. edia - freq: 18
1923. t-of - freq: 18
1924. t.do - freq: 18
1925. effm - freq: 18
1926. 2458 - freq: 18
1927. rs.0 - freq: 18
1928. neff - freq: 18
1929. wa/o - freq: 18
1930. 5a8a - freq: 18
1931. rsem - freq: 18
1932. ngdf - freq: 18
1933. et/~ - freq: 18
1934. afon - freq: 18
1935. eser - freq: 18
1936. age= - freq: 18
1937. ew/i - freq: 18
1938. ail2 - freq: 18
1939. npag - freq: 18
1940. nt.d - freq: 18
1941. c/bf - freq: 18
1942. angd - freq: 18
1943. seme - freq: 18
1944. asto - freq: 18
1945. l2f3 - freq: 18
1946. 3.in - freq: 18
1947. odaf - freq: 18
1948. 35mp - freq: 17
1949. stio - freq: 17
1950. h249 - freq: 17
1951. sunn - freq: 17
1952. 6f85 - freq: 17
1953. /35m - freq: 17
1954. ort. - freq: 17
1955. 80f0 - freq: 17
1956. ourc - freq: 17
1957. m/de - freq: 17
1958. 2l95 - freq: 17
1959. 6yao - freq: 17
1960. 4220 - freq: 17
1961. ginu - freq: 17
1962. 2ph2 - freq: 17
1963. 458x - freq: 17
1964. ph24 - freq: 17
1965. .ga/ - freq: 17
1966. 474o - freq: 17
1967. i15. - freq: 17
1968. yao6 - freq: 17
1969. e&di - freq: 17
1970. i475 - freq: 17
1971. 49i1 - freq: 17
1972. r.ne - freq: 17
1973. ch.c - freq: 17
1974. ch=1 - freq: 17
1975. .ml/ - freq: 17
1976. ched - freq: 17
1977. chec - freq: 17
1978. 02ph - freq: 17
1979. 03wf - freq: 17
1980. prec - freq: 17
1981. e/ac - freq: 17
1982. 074g - freq: 17
1983. .upd - freq: 17
1984. 9546 - freq: 17
1985. e5d5 - freq: 17
1986. 3i47 - freq: 17
1987. harm - freq: 17
1988. 5172 - freq: 17
1989. /bil - freq: 17
1990. 5464 - freq: 17
1991. 5582 - freq: 17
1992. ure. - freq: 17
1993. &log - freq: 17
1994. 575t - freq: 17
1995. /imp - freq: 17
1996. /cýb - freq: 17
1997. de81 - freq: 17
1998. 58x0 - freq: 17
1999. ddff - freq: 17
2000. 3wf6 - freq: 17
2001. dent - freq: 17
2002. /lan - freq: 17
2003. s/cý - freq: 17
2004. main - freq: 17
2005. mber - freq: 17
2006. 1352 - freq: 17
2007. 15.h - freq: 17
2008. zon/ - freq: 17
2009. /vie - freq: 17
2010. b&se - freq: 17
2011. f3cd - freq: 17
2012. f56c - freq: 17
2013. 4g02 - freq: 17
2014. mp03 - freq: 17
2015. o245 - freq: 17
2016. f6ya - freq: 17
2017. 8x07 - freq: 17
2018. o63i - freq: 17
2019. x074 - freq: 17
2020. 4o24 - freq: 17
2021. 6135 - freq: 17
2022. 616c - freq: 17
2023. 0c32 - freq: 17
2024. 0cf1 - freq: 17
2025. 63i4 - freq: 17
2026. iles - freq: 17
2027. in/b - freq: 17
2028. in/l - freq: 17
2029. in/s - freq: 17
2030. inpa - freq: 17
2031. inus - freq: 17
2032. ech. - freq: 17
2033. ring - freq: 17
2034. edc0 - freq: 17
2035. 2018 - freq: 17
2036. t/cu - freq: 17
2037. 9i15 - freq: 17
2038. t/we - freq: 17
2039. ne/c - freq: 17
2040. t2l9 - freq: 17
2041. 249i - freq: 17
2042. cýbc - freq: 17
2043. rs.c - freq: 17
2044. iz/b - freq: 17
2045. g02p - freq: 17
2046. 2755 - freq: 17
2047. ence - freq: 17
2048. rts. - freq: 17
2049. er-s - freq: 17
2050. 7&di - freq: 17
2051. wf6y - freq: 17
2052. ry.c - freq: 17
2053. erre - freq: 17
2054. p03w - freq: 17
2055. nner - freq: 17
2056. l&am - freq: 17
2057. c.co - freq: 17
2058. 7/bf - freq: 17
2059. 5mp0 - freq: 17
2060. ao63 - freq: 17
2061. angu - freq: 17
2062. nusa - freq: 17
2063. 72c2 - freq: 17
2064. 72ff - freq: 17
2065. 7524 - freq: 17
2066. 7575 - freq: 17
2067. 74g0 - freq: 17
2068. 74o2 - freq: 17
2069. 5t2l - freq: 17
2070. l.or - freq: 17
2071. c700 - freq: 17
2072. 75t2 - freq: 17
2073. c883 - freq: 17
2074. c996 - freq: 17
2075. fefa - freq: 17
2076. l954 - freq: 17
2077. 375d - freq: 16
2078. baba - freq: 16
2079. bd.c - freq: 16
2080. bcde - freq: 16
2081. l?pr - freq: 16
2082. swor - freq: 16
2083. //.w - freq: 16
2084. om/g - freq: 16
2085. om.t - freq: 16
2086. on-i - freq: 16
2087. on/? - freq: 16
2088. /.we - freq: 16
2089. ones - freq: 16
2090. bile - freq: 16
2091. kedi - freq: 16
2092. ta/l - freq: 16
2093. -sun - freq: 16
2094. -sup - freq: 16
2095. 2cfb - freq: 16
2096. tcio - freq: 16
2097. box/ - freq: 16
2098. d2f1 - freq: 16
2099. d59d - freq: 16
2100. m/mo - freq: 16
2101. m/su - freq: 16
2102. 87ba - freq: 16
2103. time - freq: 16
2104. d8ae - freq: 16
2105. ge=& - freq: 16
2106. ?pre - freq: 16
2107. 4005 - freq: 16
2108. 4044 - freq: 16
2109. v/a/ - freq: 16
2110. gid= - freq: 16
2111. ginp - freq: 16
2112. 43ed - freq: 16
2113. ts/c - freq: 16
2114. 44d6 - freq: 16
2115. trad - freq: 16
2116. 9&di - freq: 16
2117. r-su - freq: 16
2118. ces. - freq: 16
2119. 0001 - freq: 16
2120. ch=3 - freq: 16
2121. ch=a - freq: 16
2122. guag - freq: 16
2123. ciol - freq: 16
2124. 0578 - freq: 16
2125. e089 - freq: 16
2126. .sec - freq: 16
2127. uage - freq: 16
2128. liba - freq: 16
2129. ll/c - freq: 16
2130. .wel - freq: 16
2131. n-id - freq: 16
2132. n/ew - freq: 16
2133. n/se - freq: 16
2134. &cou - freq: 16
2135. ls.p - freq: 16
2136. heck - freq: 16
2137. hed= - freq: 16
2138. a-se - freq: 16
2139. /a/m - freq: 16
2140. /a/c - freq: 16
2141. w.ba - freq: 16
2142. e=&. - freq: 16
2143. a/cu - freq: 16
2144. w/iv - freq: 16
2145. a/m/ - freq: 16
2146. w/lo - freq: 16
2147. a/wp - freq: 16
2148. unne - freq: 16
2149. unt% - freq: 16
2150. /ew/ - freq: 16
2151. urce - freq: 16
2152. ures - freq: 16
2153. n=73 - freq: 16
2154. uth/ - freq: 16
2155. hous - freq: 16
2156. /iv/ - freq: 16
2157. /m/a - freq: 16
2158. /n/e - freq: 16
2159. s/co - freq: 16
2160. s/n/ - freq: 16
2161. s/st - freq: 16
2162. 1495 - freq: 16
2163. /red - freq: 16
2164. /ses - freq: 16
2165. f34c - freq: 16
2166. ml?p - freq: 16
2167. verr - freq: 16
2168. f5ea - freq: 16
2169. ibab - freq: 16
2170. ibc/ - freq: 16
2171. iden - freq: 16
2172. iew/ - freq: 16
2173. ify. - freq: 16
2174. b/in - freq: 16
2175. 0d25 - freq: 16
2176. recc - freq: 16
2177. 9a46 - freq: 16
2178. b72c - freq: 16
2179. ink/ - freq: 16
2180. iol. - freq: 16
2181. ecce - freq: 16
2182. eder - freq: 16
2183. edin - freq: 16
2184. iv/a - freq: 16
2185. 20su - freq: 16
2186. rod. - freq: 16
2187. ne.h - freq: 16
2188. ivas - freq: 16
2189. rpay - freq: 16
2190. 2418 - freq: 16
2191. ng/w - freq: 16
2192. nerp - freq: 16
