Most important phishing n_grams
268. .rus - freq: 98
269. ubmi - freq: 98
270. _sub - freq: 98
271. in_s - freq: 98
272. n_su - freq: 98
273. date - freq: 97
274. ://b - freq: 97
275. ight - freq: 97
276. ex.h - freq: 97
277. om/s - freq: 96
278. ing. - freq: 96
279. icat - freq: 95
280. //.h - freq: 94
281. om/c - freq: 94
282. ligh - freq: 94
283. rand - freq: 94
284. t.co - freq: 94
285. nes. - freq: 94
286. appl - freq: 93
287. auth - freq: 93
288. yacc - freq: 92
289. &amp - freq: 92
290. myac - freq: 92
291. plug - freq: 91
292. upda - freq: 91
293. ache - freq: 91
294. 7425 - freq: 91
295. xlig - freq: 90
296. 2564 - freq: 90
297. ntry - freq: 90
298. 7742 - freq: 90
299. boxl - freq: 89
300. oxli - freq: 89
301. ýnbo - freq: 89
302. 4256 - freq: 89
303. pdat - freq: 89
304. pple - freq: 89
305. 5641 - freq: 89
306. /plu - freq: 89
307. 1774 - freq: 89
308. 13ýn - freq: 89
309. 6418 - freq: 89
310. nbox - freq: 89
311. 3ýnb - freq: 89
312. 418& - freq: 88
313. d=lo - freq: 88
314. 9642 - freq: 88
315. ugin - freq: 88
316. lugi - freq: 88
317. md=l - freq: 88
318. tins - freq: 87
319. r.cn - freq: 87
320. .tin - freq: 87
321. mr.c - freq: 87
322. insm - freq: 87
323. nsmr - freq: 87
324. smr. - freq: 87
325. 8&fi - freq: 86
326. gins - freq: 86
327. home - freq: 86
328. 18&f - freq: 86
329. ail/ - freq: 86
330. om/i - freq: 85
331. log/ - freq: 85
332. 9964 - freq: 85
333. /mya - freq: 85
334. ail= - freq: 85
335. aspx - freq: 85
336. fid. - freq: 85
337. es.c - freq: 84
338. ages - freq: 84
339. y.co - freq: 84
340. ting - freq: 83
341. 2528 - freq: 83
342. p-ad - freq: 83
343. nter - freq: 83
344. wp-a - freq: 83
345. -adm - freq: 83
346. /.ha - freq: 82
347. ions - freq: 81
348. 8996 - freq: 80
