Most important legitimate n_grams
1154. om/o - freq: 17
1155. /.au - freq: 17
1156. /.ex - freq: 17
1157. /.so - freq: 17
1158. /.tr - freq: 17
1159. omer - freq: 17
1160. //te - freq: 17
1161. one. - freq: 17
1162. -not - freq: 17
1163. orme - freq: 17
1164. osit - freq: 17
1165. -str - freq: 17
1166. -tha - freq: 17
1167. -wee - freq: 17
1168. -wil - freq: 17
1169. ter/ - freq: 17
1170. brit - freq: 17
1171. %aa- - freq: 17
1172. this - freq: 17
1173. tivi - freq: 17
1174. top- - freq: 17
1175. tore - freq: 17
1176. 9%82 - freq: 17
1177. php? - freq: 17
1178. turk - freq: 17
1179. .in/ - freq: 17
1180. ceme - freq: 17
1181. ces/ - freq: 17
1182. grap - freq: 17
1183. pm=a - freq: 17
1184. ches - freq: 17
1185. chri - freq: 17
1186. posi - freq: 17
1187. e-re - freq: 17
1188. pric - freq: 17
1189. coll - freq: 17
1190. you- - freq: 17
1191. yout - freq: 17
1192. ctor - freq: 17
1193. ctur - freq: 17
1194. loud - freq: 17
1195. uper - freq: 17
1196. /fea - freq: 17
1197. 8b.% - freq: 17
1198. /how - freq: 17
1199. /inf - freq: 17
1200. hows - freq: 17
1201. s-pr - freq: 17
1202. desi - freq: 17
1203. /mai - freq: 17
1204. 11-1 - freq: 17
1205. htm? - freq: 17
1206. f-%d - freq: 17
1207. /pos - freq: 17
1208. f.co - freq: 17
1209. mini - freq: 17
1210. /why - freq: 17
1211. icat - freq: 17
1212. ices - freq: 17
1213. b.%e - freq: 17
1214. ra.c - freq: 17
1215. raph - freq: 17
1216. =hp_ - freq: 17
1217. ream - freq: 17
1218. east - freq: 17
1219. intc - freq: 17
1220. rien - freq: 17
1221. rive - freq: 17
1222. ef=h - freq: 17
1223. isto - freq: 17
1224. ite. - freq: 17
1225. ity. - freq: 17
1226. .%e2 - freq: 17
1227. ng-c - freq: 17
1228. aa-% - freq: 17
1229. new- - freq: 17
1230. embe - freq: 17
1231. er-s - freq: 17
1232. es-m - freq: 17
1233. essi - freq: 17
1234. este - freq: 17
1235. ain- - freq: 17
1236. %8b. - freq: 17
1237. even - freq: 17
1238. ews- - freq: 17
1239. als/ - freq: 17
1240. ard. - freq: 17
1241. ashi - freq: 17
1242. face - freq: 17
1243. feed - freq: 17
1244. -acc - freq: 17
1245. -aft - freq: 17
1246. oard - freq: 17
1247. firs - freq: 17
1248. spot - freq: 17
1249. src= - freq: 17
1250. stro - freq: 16
1251. 8%ae - freq: 16
1252. supe - freq: 16
1253. -ins - freq: 16
1254. /.av - freq: 16
1255. /.bl - freq: 16
1256. /.el - freq: 16
1257. /.he - freq: 16
1258. /.wi - freq: 16
1259. //ad - freq: 16
1260. -min - freq: 16
1261. //pr - freq: 16
1262. ompa - freq: 16
1263. m%2f - freq: 16
1264. ong- - freq: 16
1265. oogl - freq: 16
1266. -rea - freq: 16
1267. ore- - freq: 16
1268. -son - freq: 16
1269. ost- - freq: 16
1270. boar - freq: 16
1271. -war - freq: 16
1272. 86-% - freq: 16
1273. m.tw - freq: 16
1274. %b2% - freq: 16
1275. m/si - freq: 16
1276. %e7% - freq: 16
1277. gita - freq: 16
1278. pedi - freq: 16
1279. 9%d8 - freq: 16
1280. 9%d9 - freq: 16
1281. goog - freq: 16
1282. ce.c - freq: 16
1283. ty.c - freq: 16
1284. plat - freq: 16
1285. e-of - freq: 16
1286. e-st - freq: 16
1287. clou - freq: 16
1288. conf - freq: 16
1289. n-ca - freq: 16
1290. /acc - freq: 16
1291. /car - freq: 16
1292. /des - freq: 16
1293. uppo - freq: 16
1294. uran - freq: 16
1295. url= - freq: 16
1296. /fre - freq: 16
1297. 8b7% - freq: 16
1298. a7-% - freq: 16
1299. a9-% - freq: 16
1300. 1/11 - freq: 16
1301. der- - freq: 16
1302. hris - freq: 16
1303. /mar - freq: 16
1304. /med - freq: 16
1305. /not - freq: 16
1306. dia- - freq: 16
1307. -%e0 - freq: 16
1308. /pho - freq: 16
1309. ://r - freq: 16
1310. meet - freq: 16
1311. memb - freq: 16
1312. o.it - freq: 16
1313. 6-%d - freq: 16
1314. ical - freq: 16
1315. iday - freq: 16
1316. ienc - freq: 16
1317. iew/ - freq: 16
1318. igit - freq: 16
1319. rage - freq: 16
1320. rans - freq: 16
1321. rati - freq: 16
1322. b3%e - freq: 16
1323. rele - freq: 16
1324. b7%e - freq: 16
1325. eade - freq: 16
1326. b8%e - freq: 16
1327. eate - freq: 16
1328. inat - freq: 16
1329. eath - freq: 16
1330. inst - freq: 16
1331. riti - freq: 16
1332. t-ch - freq: 16
1333. t.ht - freq: 16
1334. irst - freq: 16
1335. ites - freq: 16
1336. itie - freq: 16
1337. itle - freq: 16
1338. rs.c - freq: 16
1339. elco - freq: 16
1340. ngs- - freq: 16
1341. rts. - freq: 16
1342. nia- - freq: 16
1343. 7%e2 - freq: 16
1344. rvie - freq: 16
1345. epos - freq: 16
1346. es-i - freq: 16
1347. es-s - freq: 16
1348. es/2 - freq: 16
1349. %86- - freq: 16
1350. wild - freq: 16
1351. %8b7 - freq: 16
1352. an-s - freq: 16
1353. ande - freq: 16
1354. ant- - freq: 16
1355. word - freq: 16
1356. ard- - freq: 16
1357. ater - freq: 16
1358. shou - freq: 16
1359. solu - freq: 16
1360. find - freq: 16
1361. -ele - freq: 16
1362. -fin - freq: 15
1363. back - freq: 15
1364. bang - freq: 15
1365. sts/ - freq: 15
1366. 8%b2 - freq: 15
1367. 8%b5 - freq: 15
1368. fore - freq: 15
1369. om/q - freq: 15
1370. ber- - freq: 15
1371. /.da - freq: 15
1372. /.mo - freq: 15
1373. /.ra - freq: 15
1374. /09/ - freq: 15
1375. //al - freq: 15
1376. //co - freq: 15
1377. //ma - freq: 15
1378. /12/ - freq: 15
1379. onta - freq: 15
1380. or.c - freq: 15
1381. -pri - freq: 15
1382. ble. - freq: 15
1383. z.co - freq: 15
1384. 8.ht - freq: 15
1385. -sol - freq: 15
1386. -sup - freq: 15
1387. otel - freq: 15
1388. tban - freq: 15
1389. ould - freq: 15
1390. ow-t - freq: 15
1391. ound - freq: 15
1392. -ver - freq: 15
1393. -vs- - freq: 15
1394. -wat - freq: 15
1395. -web - freq: 15
1396. bs%e - freq: 15
1397. %b8% - freq: 15
1398. m/fr - freq: 15
1399. %af- - freq: 15
1400. m/th - freq: 15
1401. m/wh - freq: 15
1402. m/we - freq: 15
1403. m/wo - freq: 15
1404. gazi - freq: 15
1405. tile - freq: 15
1406. titl - freq: 15
1407. /?re - freq: 15
1408. v.co - freq: 15
1409. tmen - freq: 15
1410. tml# - freq: 15
1411. .au/ - freq: 15
1412. tr/f - freq: 15
1413. tr/c - freq: 15
1414. .edu - freq: 15
1415. trac - freq: 15
1416. i.jp - freq: 15
1417. true - freq: 15
1418. 9%83 - freq: 15
1419. e%e0 - freq: 15
1420. r-re - freq: 15
1421. .mer - freq: 15
1422. .nl/ - freq: 15
1423. =99& - freq: 15
1424. le-s - freq: 15
1425. .pag - freq: 15
1426. ppor - freq: 15
1427. e-ch - freq: 15
1428. colo - freq: 15
1429. a%a9 - freq: 15
1430. lity - freq: 15
1431. habe - freq: 15
1432. hara - freq: 15
1433. ctiv - freq: 15
1434. loba - freq: 15
1435. curi - freq: 15
1436. ltim - freq: 15
1437. s%e2 - freq: 15
1438. /ent - freq: 15
1439. 8a-% - freq: 15
1440. ure. - freq: 15
1441. /fut - freq: 15
1442. user - freq: 15
1443. /hea - freq: 15
1444. 8bs% - freq: 15
1445. s-20 - freq: 15
1446. /ite - freq: 15
1447. m_co - freq: 15
1448. den- - freq: 15
1449. 1.co - freq: 15
1450. s/ar - freq: 15
1451. 1111 - freq: 15
1452. mage - freq: 15
1453. maga - freq: 15
1454. mate - freq: 15
1455. mati - freq: 15
1456. diti - freq: 15
1457. /sma - freq: 15
1458. /tra - freq: 15
1459. 6%be - freq: 15
1460. -10- - freq: 15
1461. mmun - freq: 15
1462. ian- - freq: 15
1463. ic.c - freq: 15
1464. iew. - freq: 15
1465. iew- - freq: 15
1466. ifor - freq: 15
1467. mult - freq: 15
1468. muni - freq: 15
1469. ?-?? - freq: 15
1470. b5%d - freq: 15
1471. reen - freq: 15
1472. rent - freq: 15
1473. res/ - freq: 15
1474. ile/ - freq: 15
1475. illa - freq: 15
1476. ead/ - freq: 15
1477. ease - freq: 15
1478. indo - freq: 15
1479. insu - freq: 15
1480. educ - freq: 15
1481. rld- - freq: 15
1482. 2.ht - freq: 15
1483. isio - freq: 15
1484. item - freq: 15
1485. rnal - freq: 15
1486. 252f - freq: 15
1487. en-b - freq: 15
1488. nfor - freq: 15
1489. ward - freq: 15
1490. ende - freq: 15
1491. ener - freq: 15
1492. aber - freq: 15
1493. ??-? - freq: 15
1494. nity - freq: 15
1495. er-p - freq: 15
1496. af-% - freq: 15
1497. ers. - freq: 15
1498. erra - freq: 15
1499. ersi - freq: 15
1500. nmen - freq: 15
1501. agaz - freq: 15
1502. espo - freq: 15
1503. esse - freq: 15
1504. %8a- - freq: 15
1505. %8bs - freq: 15
1506. al-m - freq: 15
1507. an.c - freq: 15
1508. sams - freq: 15
1509. wood - freq: 15
1510. l-co - freq: 15
1511. arin - freq: 15
1512. art. - freq: 15
1513. faul - freq: 15
1514. ault - freq: 15
1515. ffic - freq: 15
1516. azin - freq: 15
1517. obal - freq: 15
1518. -bra - freq: 15
1519. -cam - freq: 15
1520. film - freq: 15
1521. spx? - freq: 15
1522. -gam - freq: 14
1523. stac - freq: 14
1524. stma - freq: 14
1525. -hea - freq: 14
1526. stom - freq: 14
1527. supp - freq: 14
1528. 8%ac - freq: 14
1529. sura - freq: 14
1530. /.fa - freq: 14
1531. /.fo - freq: 14
1532. /.na - freq: 14
1533. on-a - freq: 14
1534. /.my - freq: 14
1535. /.sp - freq: 14
1536. /.to - freq: 14
1537. /.su - freq: 14
1538. ome. - freq: 14
1539. //sh - freq: 14
1540. ommu - freq: 14
1541. ones - freq: 14
1542. ontr - freq: 14
1543. keti - freq: 14
1544. orni - freq: 14
1545. -sea - freq: 14
1546. tabl - freq: 14
1547. tack - freq: 14
1548. tal/ - freq: 14
1549. tand - freq: 14
1550. taob - freq: 14
1551. ourn - freq: 14
1552. ox.c - freq: 14
1553. temp - freq: 14
1554. bran - freq: 14
1555. ga=2 - freq: 14
1556. %b6% - freq: 14
1557. m/ac - freq: 14
1558. m/ca - freq: 14
1559. m/se - freq: 14
1560. m/qu - freq: 14
1561. buil - freq: 14
1562. 4.ht - freq: 14
1563. 0%a7 - freq: 14
1564. peni - freq: 14
1565. cado - freq: 14
1566. call - freq: 14
1567. ttle - freq: 14
1568. pid= - freq: 14
1569. .ind - freq: 14
1570. cces - freq: 14
1571. .jsp - freq: 14
1572. twor - freq: 14
1573. gree - freq: 14
1574. lari - freq: 14
1575. last - freq: 14
1576. e-fo - freq: 14
1577. e-in - freq: 14
1578. lebr - freq: 14
1579. e-me - freq: 14
1580. e-tr - freq: 14
1581. priv - freq: 14
1582. 9.ht - freq: 14
1583. clie - freq: 14
1584. co.c - freq: 14
1585. e/pr - freq: 14
1586. ptio - freq: 14
1587. n-in - freq: 14
1588. _ga= - freq: 14
1589. hank - freq: 14
1590. loan - freq: 14
1591. cust - freq: 14
1592. _ind - freq: 14
1593. he-w - freq: 14
1594. um.c - freq: 14
1595. a-re - freq: 14
1596. w-to - freq: 14
1597. /cel - freq: 14
1598. a7%8 - freq: 14
1599. ustr - freq: 14
1600. usto - freq: 14
1601. 8c-% - freq: 14
1602. hop. - freq: 14
1603. f%d9 - freq: 14
1604. /ins - freq: 14
1605. /inv - freq: 14
1606. s-fo - freq: 14
1607. s-ho - freq: 14
1608. 1/09 - freq: 14
1609. deos - freq: 14
1610. s.to - freq: 14
1611. a=2. - freq: 14
1612. s/in - freq: 14
1613. /mus - freq: 14
1614. /onl - freq: 14
1615. ://v - freq: 14
1616. ://l - freq: 14
1617. ://j - freq: 14
1618. mer- - freq: 14
1619. /reg - freq: 14
1620. do.c - freq: 14
1621. miss - freq: 14
1622. /wat - freq: 14
1623. ial/ - freq: 14
1624. iber - freq: 14
1625. ide- - freq: 14
1626. týd= - freq: 14
1627. b1-% - freq: 14
1628. rd.c - freq: 14
1629. rch/ - freq: 14
1630. resu - freq: 14
1631. ill- - freq: 14
1632. ille - freq: 14
1633. in-t - freq: 14
1634. imag - freq: 14
1635. inan - freq: 14
1636. ini- - freq: 14
1637. ebra - freq: 14
1638. rk.c - freq: 14
1639. riva - freq: 14
1640. t-re - freq: 14
1641. nd-c - freq: 14
1642. ng-d - freq: 14
1643. next - freq: 14
1644. elem - freq: 14
1645. elin - freq: 14
1646. empl - freq: 14
1647. ac%d - freq: 14
1648. rts- - freq: 14
1649. abc. - freq: 14
1650. ent_ - freq: 14
1651. ae%d - freq: 14
1652. es-c - freq: 14
1653. erri - freq: 14
1654. esig - freq: 14
1655. age_ - freq: 14
1656. nner - freq: 14
1657. c-%d - freq: 14
1658. wiki - freq: 14
1659. %8c- - freq: 14
1660. al-c - freq: 14
1661. alif - freq: 14
1662. an-d - freq: 14
1663. alog - freq: 14
1664. als- - freq: 14
1665. nts/ - freq: 14
1666. nts- - freq: 14
1667. aoba - freq: 14
1668. ara- - freq: 14
1669. seri - freq: 14
1670. ast. - freq: 14
1671. audi - freq: 14
1672. ave- - freq: 14
1673. fest - freq: 14
1674. -bet - freq: 14
1675. obao - freq: 14
1676. ock- - freq: 14
1677. -cor - freq: 14
1678. ssen - freq: 13
1679. -gra - freq: 13
1680. -hel - freq: 13
1681. stud - freq: 13
1682. forn - freq: 13
1683. oint - freq: 13
1684. foto - freq: 13
1685. om/# - freq: 13
1686. -la- - freq: 13
1687. /.dr - freq: 13
1688. -liv - freq: 13
1689. /.le - freq: 13
1690. /.pc - freq: 13
1691. olly - freq: 13
1692. /.sh - freq: 13
1693. /.vi - freq: 13
1694. /.wa - freq: 13
1695. /.yo - freq: 13
1696. -men - freq: 13
1697. //me - freq: 13
1698. //pa - freq: 13
1699. /180 - freq: 13
1700. omot - freq: 13
1701. onfi - freq: 13
1702. onos - freq: 13
1703. ook- - freq: 13
1704. -pol - freq: 13
1705. d-to - freq: 13
1706. -ret - freq: 13
1707. -rep - freq: 13
1708. -red - freq: 13
1709. orde - freq: 13
1710. ore. - freq: 13
1711. 8.co - freq: 13
1712. ort. - freq: 13
1713. ory- - freq: 13
1714. -sma - freq: 13
1715. 82%d - freq: 13
1716. ten- - freq: 13
1717. brow - freq: 13
1718. %b0% - freq: 13
1719. bu%e - freq: 13
1720. m/me - freq: 13
1721. m/le - freq: 13
1722. m/li - freq: 13
1723. tmas - freq: 13
1724. to-s - freq: 13
1725. .aut - freq: 13
1726. gift - freq: 13
1727. gist - freq: 13
1728. givi - freq: 13
1729. tr/s - freq: 13
1730. .gam - freq: 13
1731. cali - freq: 13
1732. cata - freq: 13
1733. tv.c - freq: 13
1734. .inf - freq: 13
1735. year - freq: 13
1736. gram - freq: 13
1737. ple- - freq: 13
1738. .lin - freq: 13
1739. tyle - freq: 13
1740. .nbc - freq: 13
1741. lati - freq: 13
1742. poin - freq: 13
1743. city - freq: 13
1744. lear - freq: 13
1745. e-ma - freq: 13
1746. e-mo - freq: 13
1747. e-wa - freq: 13
1748. e-wo - freq: 13
1749. less - freq: 13
1750. prem - freq: 13
1751. e.de - freq: 13
1752. clea - freq: 13
1753. ubli - freq: 13
1754. publ - freq: 13
1755. lifo - freq: 13
1756. link - freq: 13
1757. lite - freq: 13
1758. e5%8 - freq: 13
1759. n-co - freq: 13
1760. n-th - freq: 13
1761. crea - freq: 13
1762. cros - freq: 13
1763. han- - freq: 13
1764. _hom - freq: 13
1765. he-s - freq: 13
1766. a-de - freq: 13
1767. a-li - freq: 13
1768. a-ma - freq: 13
1769. a-su - freq: 13
1770. uld- - freq: 13
1771. unch - freq: 13
1772. /bro - freq: 13
1773. _pro - freq: 13
1774. /dis - freq: 13
1775. a6%9 - freq: 13
1776. /eve - freq: 13
1777. /fin - freq: 13
1778. use- - freq: 13
1779. 8bu% - freq: 13
1780. hote - freq: 13
1781. s-ca - freq: 13
1782. 1/12 - freq: 13
1783. s-st - freq: 13
1784. s-we - freq: 13
1785. s.or - freq: 13
1786. s/de - freq: 13
1787. macr - freq: 13
1788. mana - freq: 13
1789. mazo - freq: 13
1790. dian - freq: 13
1791. dict - freq: 13
1792. f-th - freq: 13
1793. 6%b0 - freq: 13
1794. zon. - freq: 13
1795. o-de - freq: 13
1796. ds.c - freq: 13
1797. velo - freq: 13
1798. ials - freq: 13
1799. id=5 - freq: 13
1800. ica. - freq: 13
1801. mone - freq: 13
1802. ice. - freq: 13
1803. movi - freq: 13
1804. virg - freq: 13
1805. dver - freq: 13
1806. radi - freq: 13
1807. mund - freq: 13
1808. rchi - freq: 13
1809. red- - freq: 13
1810. reci - freq: 13
1811. ile. - freq: 13
1812. illi - freq: 13
1813. ears - freq: 13
1814. =new - freq: 13
1815. ine/ - freq: 13
1816. inme - freq: 13
1817. rida - freq: 13
1818. rint - freq: 13
1819. edu/ - freq: 13
1820. t-ca - freq: 13
1821. eek- - freq: 13
1822. irgi - freq: 13
1823. t.ne - freq: 13
1824. efin - freq: 13
1825. istm - freq: 13
1826. egis - freq: 13
1827. nd.c - freq: 13
1828. ront - freq: 13
1829. ives - freq: 13
1830. ivin - freq: 13
1831. nes- - freq: 13
1832. ru/c - freq: 13
1833. enid - freq: 13
1834. 7%db - freq: 13
1835. %2fs - freq: 13
1836. er-f - freq: 13
1837. er-b - freq: 13
1838. adve - freq: 13
1839. es-t - freq: 13
1840. es/p - freq: 13
1841. erin - freq: 13
1842. erre - freq: 13
1843. nort - freq: 13
1844. %8bu - freq: 13
1845. expe - freq: 13
1846. alit - freq: 13
1847. an-a - freq: 13
1848. amaz - freq: 13
1849. nsur - freq: 13
1850. 3%82 - freq: 13
1851. andr - freq: 13
1852. ans/ - freq: 13
1853. anta - freq: 13
1854. u%e2 - freq: 13
1855. l-ma - freq: 13
1856. aran - freq: 13
1857. ars- - freq: 13
1858. ase- - freq: 13
1859. aste - freq: 13
1860. asse - freq: 13
1861. atal - freq: 13
1862. atto - freq: 13
1863. -at- - freq: 13
1864. -att - freq: 13
1865. azon - freq: 13
1866. -blo - freq: 13
1867. -bus - freq: 13
1868. /%d8 - freq: 13
1869. ocal - freq: 13
1870. -chi - freq: 13
1871. of-t - freq: 13
1872. -dow - freq: 13
1873. -est - freq: 13
1874. -fro - freq: 12
1875. bao. - freq: 12
1876. stic - freq: 12
1877. -har - freq: 12
1878. stio - freq: 12
1879. -his - freq: 12
1880. subt - freq: 12
1881. sume - freq: 12
1882. 8%e2 - freq: 12
1883. om/1 - freq: 12
1884. /.al - freq: 12
1885. /.ha - freq: 12
1886. /.ja - freq: 12
1887. /.il - freq: 12
1888. /.ki - freq: 12
1889. on-t - freq: 12
1890. /.sk - freq: 12
1891. /.ta - freq: 12
1892. olor - freq: 12
1893. /.za - freq: 12
1894. -mat - freq: 12
1895. //ar - freq: 12
1896. -may - freq: 12
1897. //en - freq: 12
1898. omat - freq: 12
1899. ome_ - freq: 12
1900. -mil - freq: 12
1901. omen - freq: 12
1902. omme - freq: 12
1903. //we - freq: 12
1904. kara - freq: 12
1905. oney - freq: 12
1906. onic - freq: 12
1907. onsu - freq: 12
1908. bk%e - freq: 12
1909. -onl - freq: 12
1910. ook. - freq: 12
1911. futb - freq: 12
1912. bill - freq: 12
1913. bl%e - freq: 12
1914. d-in - freq: 12
1915. -que - freq: 12
1916. ords - freq: 12
1917. key- - freq: 12
1918. ores - freq: 12
1919. orig - freq: 12
1920. orma - freq: 12
1921. blic - freq: 12
1922. -sal - freq: 12
1923. -sur - freq: 12
1924. -ter - freq: 12
1925. tari - freq: 12
1926. oto- - freq: 12
1927. tbol - freq: 12
1928. 83%d - freq: 12
1929. -uni - freq: 12
1930. outi - freq: 12
1931. te-d - freq: 12
1932. tcmp - freq: 12
1933. ovie - freq: 12
1934. -was - freq: 12
1935. brai - freq: 12
1936. ?lan - freq: 12
1937. %a9% - freq: 12
1938. m.au - freq: 12
1939. gage - freq: 12
1940. %ba% - freq: 12
1941. %bc% - freq: 12
1942. %bd% - freq: 12
1943. thes - freq: 12
1944. thre - freq: 12
1945. 4-%d - freq: 12
1946. ticu - freq: 12
1947. tici - freq: 12
1948. tifi - freq: 12
1949. tles - freq: 12
1950. to-b - freq: 12
1951. .ban - freq: 12
1952. .bil - freq: 12
1953. topi - freq: 12
1954. top_ - freq: 12
1955. .che - freq: 12
1956. tos- - freq: 12
1957. ts.c - freq: 12
1958. peci - freq: 12
1959. per- - freq: 12
1960. pert - freq: 12
1961. peri - freq: 12
1962. tren - freq: 12
1963. gnet - freq: 12
1964. tube - freq: 12
1965. .id/ - freq: 12
1966. e%b1 - freq: 12
1967. gori - freq: 12
1968. e&ut - freq: 12
1969. r-an - freq: 12
1970. gran - freq: 12
1971. chin - freq: 12
1972. guar - freq: 12
1973. cing - freq: 12
1974. e-an - freq: 12
1975. e-ca - freq: 12
1976. e-ho - freq: 12
1977. e-le - freq: 12
1978. lege - freq: 12
1979. ler- - freq: 12
1980. ler. - freq: 12
1981. e-vi - freq: 12
1982. e.fr - freq: 12
1983. prot - freq: 12
1984. prof - freq: 12
1985. e.ne - freq: 12
1986. .sof - freq: 12
1987. e/ne - freq: 12
1988. .tao - freq: 12
1989. uard - freq: 12
1990. .to/ - freq: 12
1991. lide - freq: 12
1992. ucat - freq: 12
1993. corp - freq: 12
1994. cour - freq: 12
1995. coup - freq: 12
1996. cove - freq: 12
1997. .web - freq: 12
1998. n-re - freq: 12
1999. crip - freq: 12
2000. llyw - freq: 12
2001. hann - freq: 12
2002. uild - freq: 12
2003. ywoo - freq: 12
2004. ulat - freq: 12
2005. 5.ht - freq: 12
2006. a.ht - freq: 12
2007. a.go - freq: 12
2008. ults - freq: 12
2009. &gg_ - freq: 12
2010. /all - freq: 12
2011. /arc - freq: 12
2012. _pos - freq: 12
2013. /en. - freq: 12
2014. /ele - freq: 12
2015. da.c - freq: 12
2016. lywo - freq: 12
2017. dan- - freq: 12
2018. utbo - freq: 12
2019. /har - freq: 12
2020. 8bk% - freq: 12
2021. 8bl% - freq: 12
2022. a9%d - freq: 12
2023. hong - freq: 12
2024. defa - freq: 12
2025. s-me - freq: 12
2026. s-no - freq: 12
2027. s/ne - freq: 12
2028. s/re - freq: 12
2029. mash - freq: 12
2030. /ope - freq: 12
2031. dit- - freq: 12
2032. men- - freq: 12
2033. mes- - freq: 12
2034. /sam - freq: 12
2035. /top - freq: 12
2036. /tru - freq: 12
2037. que- - freq: 12
2038. quot - freq: 12
2039. ming - freq: 12
2040. ml?r - freq: 12
2041. o-su - freq: 12
2042. very - freq: 12
2043. drea - freq: 12
2044. ible - freq: 12
2045. duca - freq: 12
2046. k%e2 - freq: 12
2047. moto - freq: 12
2048. icon - freq: 12
2049. icul - freq: 12
2050. b1%c - freq: 12
2051. rada - freq: 12
2052. rg/t - freq: 12
2053. resi - freq: 12
2054. ile- - freq: 12
2055. iler - freq: 12
2056. in-s - freq: 12
2057. ily. - freq: 12
2058. imat - freq: 12
2059. each - freq: 12
2060. ina- - freq: 12
2061. iner - freq: 12
2062. int. - freq: 12
2063. ed-t - freq: 12
2064. 2-%d - freq: 12
2065. ria- - freq: 12
2066. rici - freq: 12
2067. ion_ - freq: 12
2068. ione - freq: 12
2069. echn - freq: 12
2070. ecia - freq: 12
2071. ecor - freq: 12
2072. ect- - freq: 12
2073. ecto - freq: 12
2074. ipho - freq: 12
2075. een- - freq: 12
2076. t-th - freq: 12
2077. na.c - freq: 12
2078. efau - freq: 12
2079. issi - freq: 12
2080. rnin - freq: 12
2081. roll - freq: 12
2082. rom- - freq: 12
2083. eigh - freq: 12
2084. ivat - freq: 12
2085. ng-w - freq: 12
2086. ng-m - freq: 12
2087. nera - freq: 12
2088. elan - freq: 12
2089. eles - freq: 12
2090. en-s - freq: 12
2091. en-u - freq: 12
2092. rst- - freq: 12
2093. g/tr - freq: 12
2094. rtai - freq: 12
2095. rtis - freq: 12
2096. nica - freq: 12
2097. acad - freq: 12
2098. ace- - freq: 12
2099. acke - freq: 12
2100. acio - freq: 12
2101. nive - freq: 12
2102. es-f - freq: 12
2103. es-a - freq: 12
2104. es-p - freq: 12
2105. es/s - freq: 12
2106. webs - freq: 12
2107. equi - freq: 12
2108. erca - freq: 12
2109. eres - freq: 12
2110. erm= - freq: 12
2111. nnel - freq: 12
2112. ets- - freq: 12
2113. etur - freq: 12
2114. euro - freq: 12
2115. l%e2 - freq: 12
2116. %8bl - freq: 12
2117. %8bk - freq: 12
2118. ject - freq: 12
2119. alen - freq: 12
2120. all. - freq: 12
2121. amil - freq: 12
2122. ntan - freq: 12
2123. ntac - freq: 12
2124. ntcm - freq: 12
2125. sand - freq: 12
2126. 3%81 - freq: 12
2127. anal - freq: 12
2128. angu - freq: 12
2129. ntra - freq: 12
2130. anks - freq: 12
2131. ntro - freq: 12
2132. ans- - freq: 12
2133. _%d8 - freq: 12
2134. ar.c - freq: 12
2135. sell - freq: 12
2136. asti - freq: 12
2137. fami - freq: 12
2138. 3000 - freq: 12
2139. -bre - freq: 12
2140. -by- - freq: 12
2141. fide - freq: 12
2142. /%d9 - freq: 12
2143. -cho - freq: 12
2144. fine - freq: 12
2145. -cla - freq: 12
2146. ocke - freq: 12
2147. -fil - freq: 11
2148. ball - freq: 11
2149. band - freq: 11
2150. stru - freq: 11
2151. oice - freq: 11
2152. 8%ad - freq: 11
2153. bf%e - freq: 11
2154. -kar - freq: 11
2155. //.1 - freq: 11
2156. om.c - freq: 11
2157. xero - freq: 11
2158. bert - freq: 11
2159. /.ad - freq: 11
2160. /.cb - freq: 11
2161. /.cl - freq: 11
2162. -lea - freq: 11
2163. /.ic - freq: 11
2164. /.ko - freq: 11
2165. /.nb - freq: 11
2166. /.us - freq: 11
2167. //it - freq: 11
2168. omic - freq: 11
2169. //mi - freq: 11
2170. -mob - freq: 11
2171. 8-%d - freq: 11
2172. ooks - freq: 11
2173. -out - freq: 11
2174. ýd=2 - freq: 11
2175. xit- - freq: 11
2176. -pay - freq: 11
2177. -pic - freq: 11
2178. ker. - freq: 11
2179. ket. - freq: 11
2180. orat - freq: 11
2181. ork. - freq: 11
2182. ot.c - freq: 11
2183. orks - freq: 11
2184. orth - freq: 11
2185. -set - freq: 11
2186. -sec - freq: 11
2187. bo%e - freq: 11
2188. osts - freq: 11
2189. osti - freq: 11
2190. tal- - freq: 11
2191. talk - freq: 11
2192. tali - freq: 11
2193. take - freq: 11
2194. targ - freq: 11
2195. 4%9f - freq: 11
2196. otes - freq: 11
2197. -tri - freq: 11
2198. otom - freq: 11
2199. otte - freq: 11
2200. body - freq: 11
2201. ow.c - freq: 11
2202. ours - freq: 11
2203. tch- - freq: 11
2204. te-a - freq: 11
2205. -vid - freq: 11
2206. ows/ - freq: 11
2207. %a3% - freq: 11
2208. tert - freq: 11
2209. brex - freq: 11
2210. m/ap - freq: 11
2211. m/fe - freq: 11
2212. m/lo - freq: 11
2213. m/p/ - freq: 11
2214. m/mu - freq: 11
2215. m/pa - freq: 11
2216. m/ta - freq: 11
2217. btit - freq: 11
2218. then - freq: 11
2219. tice - freq: 11
2220. till - freq: 11
2221. ks.c - freq: 11
2222. ksgi - freq: 11
2223. .ali - freq: 11
2224. .app - freq: 11
2225. .avi - freq: 11
2226. .blo - freq: 11
2227. ght- - freq: 11
2228. toda - freq: 11
2229. kute - freq: 11
2230. tor. - freq: 11
2231. .cz/ - freq: 11
2232. pect - freq: 11
2233. pen- - freq: 11
2234. pens - freq: 11
2235. perf - freq: 11
2236. .exp - freq: 11
2237. trip - freq: 11
2238. cade - freq: 11
2239. cale - freq: 11
