dictionary size=  100
list element size=  100000 

Start value = V  Goal value = Y 

Expand Node | Fringe
--------------------
-           | (15, 'V')
Q           | (299759, 'U23'), (302846, 'A'), (318475, 'M'), (317756, 'T2'), (311070, 'G24'), (321095, 'M'), (321156, 'T4'), (323019, 'X9'), (346418, 'H16'), (321201, 'V8'), (316333, 'S0'), (385051, 'S4'), (365325, 'S8'), (326799, 'K12'), (394929, 'Z7'), (373134, 'C21'), (351466, 'Q24'), (372642, 'S19'), (359434, 'U8'), (356754, 'R12'), (335953, 'V22')
U23         | (302846, 'A'), (311070, 'G24'), (318475, 'M'), (317756, 'T2'), (316333, 'S0'), (321095, 'M'), (321156, 'T4'), (323019, 'X9'), (346418, 'H16'), (321201, 'V8'), (335953, 'V22'), (385051, 'S4'), (365325, 'S8'), (326799, 'K12'), (394929, 'Z7'), (373134, 'C21'), (351466, 'Q24'), (372642, 'S19'), (359434, 'U8'), (356754, 'R12')
A           | (311070, 'G24'), (316333, 'S0'), (312415, 'R9'), (317756, 'T2'), (321201, 'V8'), (318475, 'M'), (321156, 'T4'), (323019, 'X9'), (346418, 'H16'), (356754, 'R12'), (332079, 'J13'), (337103, 'L25'), (321095, 'M'), (326799, 'K12'), (394929, 'Z7'), (373134, 'C21'), (351466, 'Q24'), (372642, 'S19'), (359434, 'U8'), (391007, 'G10'), (390566, 'J10'), (335953, 'V22'), (391473, 'K23'), (386926, 'L16'), (385051, 'S4'), (365325, 'S8')
G24         | (312415, 'R9'), (316333, 'S0'), (318475, 'M'), (317756, 'T2'), (321201, 'V8'), (321095, 'M'), (321156, 'T4'), (323019, 'X9'), (346418, 'H16'), (356754, 'R12'), (332079, 'J13'), (337103, 'L25'), (365325, 'S8'), (326799, 'K12'), (394929, 'Z7'), (373134, 'C21'), (351466, 'Q24'), (372642, 'S19'), (359434, 'U8'), (391007, 'G10'), (390566, 'J10'), (335953, 'V22'), (391473, 'K23'), (386926, 'L16'), (385051, 'S4')
R9          | (316333, 'S0'), (317756, 'T2'), (318475, 'M'), (323019, 'X9'), (321201, 'V8'), (321095, 'M'), (321156, 'T4'), (351466, 'Q24'), (346418, 'H16'), (356754, 'R12'), (332079, 'J13'), (337103, 'L25'), (365325, 'S8'), (326799, 'K12'), (394929, 'Z7'), (373134, 'C21'), (385051, 'S4'), (372642, 'S19'), (359434, 'U8'), (391007, 'G10'), (390566, 'J10'), (335953, 'V22'), (391473, 'K23'), (386926, 'L16')
S0          | (317756, 'T2'), (321201, 'V8'), (318475, 'M'), (323019, 'X9'), (332079, 'J13'), (321095, 'M'), (321156, 'T4'), (351466, 'Q24'), (346418, 'H16'), (356754, 'R12'), (335953, 'V22'), (337103, 'L25'), (365325, 'S8'), (326799, 'K12'), (394929, 'Z7'), (373134, 'C21'), (385051, 'S4'), (372642, 'S19'), (359434, 'U8'), (391007, 'G10'), (390566, 'J10'), (386926, 'L16'), (391473, 'K23'), (339034, 'I')
T2          | (318475, 'M'), (321201, 'V8'), (321095, 'M'), (323019, 'X9'), (332079, 'J13'), (337103, 'L25'), (321156, 'T4'), (351466, 'Q24'), (346418, 'H16'), (356754, 'R12'), (335953, 'V22'), (339034, 'I'), (365325, 'S8'), (326799, 'K12'), (394929, 'Z7'), (373134, 'C21'), (385051, 'S4'), (372642, 'S19'), (359434, 'U8'), (391007, 'G10'), (390566, 'J10'), (386926, 'L16'), (391473, 'K23')
M           | (321095, 'M'), (321201, 'V8'), (321156, 'T4'), (323019, 'X9'), (322512, 'M14'), (337103, 'L25'), (326799, 'K12'), (342577, 'Z12'), (346418, 'H16'), (356754, 'R12'), (332079, 'J13'), (339034, 'I'), (365325, 'S8'), (388311, 'T0'), (363972, 'T22'), (351466, 'Q24'), (385051, 'S4'), (372642, 'S19'), (359434, 'U8'), (391007, 'G10'), (390566, 'J10'), (386926, 'L16'), (335953, 'V22'), (384623, 'M23'), (410673, 'P5'), (408603, 'Q16'), (400683, 'R0'), (393073, 'R4'), (391473, 'K23'), (394929, 'Z7'), (416082, 'X11'), (379548, 'Y14'), (373134, 'C21')
M           | (321156, 'T4'), (321201, 'V8'), (326799, 'K12'), (323019, 'X9'), (322512, 'M14'), (337103, 'L25'), (363972, 'T22'), (342577, 'Z12'), (346418, 'H16'), (356754, 'R12'), (332079, 'J13'), (339034, 'I'), (365325, 'S8'), (388311, 'T0'), (373134, 'C21'), (351466, 'Q24'), (385051, 'S4'), (372642, 'S19'), (359434, 'U8'), (391007, 'G10'), (390566, 'J10'), (386926, 'L16'), (335953, 'V22'), (384623, 'M23'), (410673, 'P5'), (408603, 'Q16'), (400683, 'R0'), (393073, 'R4'), (391473, 'K23'), (394929, 'Z7'), (416082, 'X11'), (379548, 'Y14')
T4          | (321201, 'V8'), (322512, 'M14'), (326799, 'K12'), (323019, 'X9'), (332079, 'J13'), (337103, 'L25'), (363972, 'T22'), (342577, 'Z12'), (346418, 'H16'), (356754, 'R12'), (335953, 'V22'), (339034, 'I'), (365325, 'S8'), (388311, 'T0'), (373134, 'C21'), (351466, 'Q24'), (385051, 'S4'), (372642, 'S19'), (359434, 'U8'), (391007, 'G10'), (390566, 'J10'), (386926, 'L16'), (379548, 'Y14'), (384623, 'M23'), (410673, 'P5'), (408603, 'Q16'), (400683, 'R0'), (393073, 'R4'), (391473, 'K23'), (394929, 'Z7'), (416082, 'X11')
