dictionary size=  1000
list element size=  10 

Start value = T  Goal value = I 

Expand Node | Fringe
--------------------
-           | (489, 'T')
S18         | (107, 'B8'), (116, 'V8'), (109, 'D11'), (223, 'L2'), (291, 'N'), (371, 'Q4'), (223, 'O6'), (297, 'F19'), (238, 'J'), (726, 'W17'), (470, 'L24'), (578, 'V24'), (811, 'J18'), (429, 'I8'), (263, 'N13'), (632, 'S5'), (429, 'X3'), (642, 'Z21'), (1003, 'Z0'), (955, 'Z4'), (950, 'M4'), (836, 'A12'), (702, 'Q16'), (907, 'B12'), (663, 'X5'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (873, 'Q8'), (659, 'Q11'), (869, 'K22'), (982, 'W'), (920, 'R9'), (885, 'N14'), (929, 'C'), (898, 'F')
B8          | (109, 'D11'), (116, 'V8'), (223, 'O6'), (223, 'L2'), (291, 'N'), (371, 'Q4'), (263, 'N13'), (297, 'F19'), (238, 'J'), (726, 'W17'), (470, 'L24'), (578, 'V24'), (811, 'J18'), (429, 'I8'), (659, 'Q11'), (632, 'S5'), (429, 'X3'), (642, 'Z21'), (1003, 'Z0'), (955, 'Z4'), (950, 'M4'), (836, 'A12'), (702, 'Q16'), (907, 'B12'), (663, 'X5'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (873, 'Q8'), (898, 'F'), (869, 'K22'), (982, 'W'), (920, 'R9'), (885, 'N14'), (929, 'C')
D11         | (116, 'V8'), (223, 'L2'), (223, 'O6'), (238, 'J'), (291, 'N'), (371, 'Q4'), (263, 'N13'), (297, 'F19'), (642, 'Z21'), (726, 'W17'), (470, 'L24'), (578, 'V24'), (811, 'J18'), (429, 'I8'), (659, 'Q11'), (632, 'S5'), (429, 'X3'), (929, 'C'), (1003, 'Z0'), (955, 'Z4'), (950, 'M4'), (836, 'A12'), (702, 'Q16'), (907, 'B12'), (663, 'X5'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (873, 'Q8'), (898, 'F'), (869, 'K22'), (982, 'W'), (920, 'R9'), (885, 'N14')
V8          | (223, 'L2'), (238, 'J'), (223, 'O6'), (297, 'F19'), (291, 'N'), (371, 'Q4'), (263, 'N13'), (429, 'X3'), (642, 'Z21'), (726, 'W17'), (470, 'L24'), (578, 'V24'), (811, 'J18'), (429, 'I8'), (659, 'Q11'), (632, 'S5'), (885, 'N14'), (929, 'C'), (1003, 'Z0'), (955, 'Z4'), (950, 'M4'), (836, 'A12'), (702, 'Q16'), (907, 'B12'), (663, 'X5'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (873, 'Q8'), (898, 'F'), (869, 'K22'), (982, 'W'), (920, 'R9')
L2          | (223, 'O6'), (238, 'J'), (263, 'N13'), (297, 'F19'), (291, 'N'), (371, 'Q4'), (429, 'I8'), (429, 'X3'), (642, 'Z21'), (726, 'W17'), (470, 'L24'), (578, 'V24'), (811, 'J18'), (873, 'Q8'), (659, 'Q11'), (632, 'S5'), (632, 'L'), (929, 'C'), (1003, 'Z0'), (955, 'Z4'), (950, 'M4'), (836, 'A12'), (702, 'Q16'), (907, 'B12'), (663, 'X5'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (920, 'R9'), (898, 'F'), (869, 'K22'), (982, 'W'), (739, 'G'), (885, 'N14')
O6          | (238, 'J'), (291, 'N'), (263, 'N13'), (297, 'F19'), (470, 'L24'), (371, 'Q4'), (429, 'I8'), (429, 'X3'), (642, 'Z21'), (726, 'W17'), (702, 'Q16'), (578, 'V24'), (811, 'J18'), (873, 'Q8'), (659, 'Q11'), (632, 'S5'), (632, 'L'), (929, 'C'), (1003, 'Z0'), (955, 'Z4'), (950, 'M4'), (836, 'A12'), (885, 'N14'), (907, 'B12'), (663, 'X5'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (920, 'R9'), (898, 'F'), (869, 'K22'), (982, 'W'), (739, 'G')
J           | (116, 'P24'), (122, 'P8'), (371, 'Q4'), (240, 'T7'), (302, 'X11'), (578, 'V24'), (429, 'I8'), (303, 'L8'), (263, 'N13'), (470, 'L24'), (702, 'Q16'), (663, 'X5'), (811, 'J18'), (873, 'Q8'), (659, 'Q11'), (632, 'S5'), (429, 'X3'), (297, 'F19'), (291, 'N'), (726, 'W17'), (937, 'X15'), (836, 'A12'), (885, 'N14'), (907, 'B12'), (739, 'G'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (920, 'R9'), (898, 'F'), (869, 'K22'), (982, 'W'), (926, 'K3'), (632, 'L'), (933, 'M14'), (929, 'C'), (642, 'Z21'), (1003, 'Z0'), (300, 'W5'), (955, 'Z4'), (914, 'X7'), (950, 'M4')
P24         | (122, 'P8'), (240, 'T7'), (371, 'Q4'), (263, 'N13'), (302, 'X11'), (578, 'V24'), (429, 'I8'), (303, 'L8'), (291, 'N'), (313, 'K'), (702, 'Q16'), (663, 'X5'), (811, 'J18'), (873, 'Q8'), (659, 'Q11'), (632, 'S5'), (429, 'X3'), (297, 'F19'), (300, 'W5'), (726, 'W17'), (470, 'L24'), (836, 'A12'), (885, 'N14'), (907, 'B12'), (739, 'G'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (920, 'R9'), (898, 'F'), (869, 'K22'), (982, 'W'), (926, 'K3'), (632, 'L'), (933, 'M14'), (929, 'C'), (642, 'Z21'), (1003, 'Z0'), (950, 'M4'), (955, 'Z4'), (914, 'X7'), (937, 'X15')
P8          | (240, 'T7'), (263, 'N13'), (371, 'Q4'), (291, 'N'), (302, 'X11'), (578, 'V24'), (429, 'I8'), (303, 'L8'), (297, 'F19'), (313, 'K'), (702, 'Q16'), (663, 'X5'), (811, 'J18'), (873, 'Q8'), (659, 'Q11'), (632, 'S5'), (429, 'X3'), (642, 'Z21'), (300, 'W5'), (726, 'W17'), (470, 'L24'), (836, 'A12'), (885, 'N14'), (907, 'B12'), (739, 'G'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (920, 'R9'), (898, 'F'), (869, 'K22'), (982, 'W'), (926, 'K3'), (632, 'L'), (933, 'M14'), (929, 'C'), (937, 'X15'), (1003, 'Z0'), (950, 'M4'), (955, 'Z4'), (914, 'X7')
T7          | (263, 'N13'), (291, 'N'), (371, 'Q4'), (297, 'F19'), (302, 'X11'), (578, 'V24'), (429, 'I8'), (303, 'L8'), (300, 'W5'), (313, 'K'), (702, 'Q16'), (663, 'X5'), (811, 'J18'), (873, 'Q8'), (659, 'Q11'), (632, 'S5'), (429, 'X3'), (642, 'Z21'), (914, 'X7'), (726, 'W17'), (470, 'L24'), (836, 'A12'), (885, 'N14'), (907, 'B12'), (739, 'G'), (1016, 'I15'), (845, 'J19'), (898, 'L7'), (920, 'R9'), (898, 'F'), (869, 'K22'), (982, 'W'), (926, 'K3'), (632, 'L'), (933, 'M14'), (929, 'C'), (937, 'X15'), (1003, 'Z0'), (950, 'M4'), (955, 'Z4')
