dictionary size=  10000
list element size=  100 

Start value = J  Goal value = P 

Expand Node | Fringe
--------------------
-           | (7197, 'J')
X6          | (5013, 'R17'), (5744, 'Y19'), (5793, 'H23'), (6145, 'X10'), (6641, 'P18'), (6485, 'L19'), (5880, 'V0'), (6198, 'W11'), (6472, 'S19'), (6919, 'N20'), (7410, 'N'), (7490, 'H15'), (7464, 'S5'), (6029, 'G'), (8547, 'I5'), (6406, 'Q2'), (9002, 'S6'), (6581, 'S7'), (8051, 'C'), (9325, 'W'), (8906, 'P16'), (9863, 'X7'), (9682, 'R1'), (9685, 'O19'), (10348, 'M9'), (9548, 'O6'), (8115, 'S12'), (8790, 'Y6'), (6201, 'X21'), (9588, 'M15'), (8936, 'X23'), (7935, 'Q24'), (9145, 'S6'), (10093, 'I9'), (10038, 'W13'), (8122, 'Q15'), (9592, 'Q23'), (8962, 'W19')
R17         | (5744, 'Y19'), (6145, 'X10'), (5793, 'H23'), (6198, 'W11'), (6641, 'P18'), (6485, 'L19'), (5880, 'V0'), (6406, 'Q2'), (6472, 'S19'), (6919, 'N20'), (7410, 'N'), (7490, 'H15'), (7464, 'S5'), (6029, 'G'), (8547, 'I5'), (7935, 'Q24'), (9002, 'S6'), (6581, 'S7'), (8051, 'C'), (9325, 'W'), (8906, 'P16'), (9863, 'X7'), (9682, 'R1'), (9685, 'O19'), (10348, 'M9'), (9548, 'O6'), (8115, 'S12'), (8790, 'Y6'), (6201, 'X21'), (9588, 'M15'), (8936, 'X23'), (8962, 'W19'), (9145, 'S6'), (10093, 'I9'), (10038, 'W13'), (8122, 'Q15'), (9592, 'Q23')
Y19         | (1894, 'Y'), (5793, 'H23'), (5880, 'V0'), (6145, 'X10'), (6641, 'P18'), (6485, 'L19'), (6029, 'G'), (6406, 'Q2'), (6198, 'W11'), (6919, 'N20'), (7410, 'N'), (7490, 'H15'), (7464, 'S5'), (6201, 'X21'), (8547, 'I5'), (7935, 'Q24'), (9002, 'S6'), (6472, 'S19'), (8051, 'C'), (9325, 'W'), (8906, 'P16'), (9863, 'X7'), (9682, 'R1'), (9685, 'O19'), (10348, 'M9'), (9548, 'O6'), (8115, 'S12'), (8790, 'Y6'), (9592, 'Q23'), (9588, 'M15'), (8936, 'X23'), (8962, 'W19'), (9145, 'S6'), (10093, 'I9'), (10038, 'W13'), (8122, 'Q15'), (6581, 'S7')
Y           | (5793, 'H23'), (6145, 'X10'), (5880, 'V0'), (6198, 'W11'), (6641, 'P18'), (6485, 'L19'), (6029, 'G'), (6406, 'Q2'), (6472, 'S19'), (6919, 'N20'), (7410, 'N'), (7490, 'H15'), (7464, 'S5'), (6201, 'X21'), (8547, 'I5'), (7935, 'Q24'), (9002, 'S6'), (6581, 'S7'), (8051, 'C'), (9325, 'W'), (8906, 'P16'), (9863, 'X7'), (9682, 'R1'), (9685, 'O19'), (10348, 'M9'), (9548, 'O6'), (8115, 'S12'), (8790, 'Y6'), (9592, 'Q23'), (9588, 'M15'), (8936, 'X23'), (8962, 'W19'), (9145, 'S6'), (10093, 'I9'), (10038, 'W13'), (8122, 'Q15')
H23         | (5880, 'V0'), (6145, 'X10'), (6029, 'G'), (6198, 'W11'), (6641, 'P18'), (6485, 'L19'), (6201, 'X21'), (6406, 'Q2'), (6472, 'S19'), (6919, 'N20'), (7410, 'N'), (7490, 'H15'), (7464, 'S5'), (8122, 'Q15'), (8547, 'I5'), (7935, 'Q24'), (9002, 'S6'), (6581, 'S7'), (8051, 'C'), (9325, 'W'), (8906, 'P16'), (9863, 'X7'), (9682, 'R1'), (9685, 'O19'), (10348, 'M9'), (9548, 'O6'), (8115, 'S12'), (8790, 'Y6'), (9592, 'Q23'), (9588, 'M15'), (8936, 'X23'), (8962, 'W19'), (9145, 'S6'), (10093, 'I9'), (10038, 'W13')
V0          | (6029, 'G'), (6145, 'X10'), (6201, 'X21'), (6198, 'W11'), (6641, 'P18'), (6485, 'L19'), (8122, 'Q15'), (6406, 'Q2'), (6472, 'S19'), (6919, 'N20'), (7410, 'N'), (7490, 'H15'), (7464, 'S5'), (8790, 'Y6'), (8547, 'I5'), (7935, 'Q24'), (9002, 'S6'), (6581, 'S7'), (8051, 'C'), (9325, 'W'), (8906, 'P16'), (9863, 'X7'), (9682, 'R1'), (9685, 'O19'), (10348, 'M9'), (9548, 'O6'), (8115, 'S12'), (10038, 'W13'), (9592, 'Q23'), (9588, 'M15'), (8936, 'X23'), (8962, 'W19'), (9145, 'S6'), (10093, 'I9')
G           | (6145, 'X10'), (6198, 'W11'), (6201, 'X21'), (6406, 'Q2'), (6641, 'P18'), (6485, 'L19'), (8122, 'Q15'), (7935, 'Q24'), (6472, 'S19'), (6919, 'N20'), (7410, 'N'), (7490, 'H15'), (7464, 'S5'), (8790, 'Y6'), (8547, 'I5'), (8962, 'W19'), (9002, 'S6'), (6581, 'S7'), (8051, 'C'), (9325, 'W'), (8906, 'P16'), (9863, 'X7'), (9682, 'R1'), (9685, 'O19'), (10348, 'M9'), (9548, 'O6'), (8115, 'S12'), (10038, 'W13'), (9592, 'Q23'), (9588, 'M15'), (8936, 'X23'), (10093, 'I9'), (9145, 'S6')
X10         | (6198, 'W11'), (6406, 'Q2'), (6201, 'X21'), (6472, 'S19'), (6641, 'P18'), (6485, 'L19'), (8122, 'Q15'), (7935, 'Q24'), (6581, 'S7'), (6919, 'N20'), (7410, 'N'), (7490, 'H15'), (7464, 'S5'), (8790, 'Y6'), (8547, 'I5'), (8962, 'W19'), (9002, 'S6'), (9145, 'S6'), (8051, 'C'), (9325, 'W'), (8906, 'P16'), (9863, 'X7'), (9682, 'R1'), (9685, 'O19'), (10348, 'M9'), (9548, 'O6'), (8115, 'S12'), (10038, 'W13'), (9592, 'Q23'), (9588, 'M15'), (8936, 'X23'), (10093, 'I9')
W11         | (6201, 'X21'), (6406, 'Q2'), (6485, 'L19'), (6472, 'S19'), (6641, 'P18'), (7464, 'S5'), (8122, 'Q15'), (7935, 'Q24'), (6581, 'S7'), (6919, 'N20'), (7410, 'N'), (7490, 'H15'), (8115, 'S12'), (8790, 'Y6'), (8547, 'I5'), (8962, 'W19'), (9002, 'S6'), (9145, 'S6'), (8051, 'C'), (9325, 'W'), (8906, 'P16'), (9863, 'X7'), (9682, 'R1'), (9685, 'O19'), (10348, 'M9'), (9548, 'O6'), (10093, 'I9'), (10038, 'W13'), (9592, 'Q23'), (9588, 'M15'), (8936, 'X23')
X21         | (6406, 'Q2'), (6472, 'S19'), (6485, 'L19'), (6581, 'S7'), (6641, 'P18'), (7464, 'S5'), (8122, 'Q15'), (7935, 'Q24'), (8051, 'C'), (6919, 'N20'), (7410, 'N'), (7490, 'H15'), (8115, 'S12'), (8790, 'Y6'), (8547, 'I5'), (8962, 'W19'), (9002, 'S6'), (9145, 'S6'), (8936, 'X23'), (9325, 'W'), (8906, 'P16'), (9863, 'X7'), (9682, 'R1'), (9685, 'O19'), (10348, 'M9'), (9548, 'O6'), (10093, 'I9'), (10038, 'W13'), (9592, 'Q23'), (9588, 'M15')
Q2          | (6472, 'S19'), (6581, 'S7'), (6485, 'L19'), (7935, 'Q24'), (6641, 'P18'), (7464, 'S5'), (8122, 'Q15'), (8962, 'W19'), (8051, 'C'), (6919, 'N20'), (7410, 'N'), (7490, 'H15'), (8115, 'S12'), (8790, 'Y6'), (8547, 'I5'), (9588, 'M15'), (9002, 'S6'), (9145, 'S6'), (8936, 'X23'), (9325, 'W'), (8906, 'P16'), (9863, 'X7'), (9682, 'R1'), (9685, 'O19'), (10348, 'M9'), (9548, 'O6'), (10093, 'I9'), (10038, 'W13'), (9592, 'Q23')
S19         | (6485, 'L19'), (6581, 'S7'), (7464, 'S5'), (7935, 'Q24'), (6641, 'P18'), (7490, 'H15'), (8122, 'Q15'), (8962, 'W19'), (8051, 'C'), (6919, 'N20'), (7410, 'N'), (9592, 'Q23'), (8115, 'S12'), (8790, 'Y6'), (8547, 'I5'), (9588, 'M15'), (9002, 'S6'), (9145, 'S6'), (8936, 'X23'), (9325, 'W'), (8906, 'P16'), (9863, 'X7'), (9682, 'R1'), (9685, 'O19'), (10348, 'M9'), (9548, 'O6'), (10093, 'I9'), (10038, 'W13')
L19         | (6581, 'S7'), (6641, 'P18'), (7464, 'S5'), (7935, 'Q24'), (6919, 'N20'), (7490, 'H15'), (8122, 'Q15'), (8962, 'W19'), (8051, 'C'), (8906, 'P16'), (7410, 'N'), (9592, 'Q23'), (8115, 'S12'), (8790, 'Y6'), (8547, 'I5'), (9588, 'M15'), (9002, 'S6'), (9145, 'S6'), (8936, 'X23'), (9325, 'W'), (10038, 'W13'), (9863, 'X7'), (9682, 'R1'), (9685, 'O19'), (10348, 'M9'), (9548, 'O6'), (10093, 'I9')
S7          | (6641, 'P18'), (6919, 'N20'), (7464, 'S5'), (7935, 'Q24'), (7410, 'N'), (7490, 'H15'), (8122, 'Q15'), (8962, 'W19'), (8051, 'C'), (8906, 'P16'), (9682, 'R1'), (9592, 'Q23'), (8115, 'S12'), (8790, 'Y6'), (8547, 'I5'), (9588, 'M15'), (9002, 'S6'), (9145, 'S6'), (8936, 'X23'), (9325, 'W'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9685, 'O19'), (10348, 'M9'), (9548, 'O6')
P18         | (6919, 'N20'), (7410, 'N'), (7464, 'S5'), (7935, 'Q24'), (8906, 'P16'), (7490, 'H15'), (8122, 'Q15'), (8962, 'W19'), (8051, 'C'), (9325, 'W'), (9682, 'R1'), (9592, 'Q23'), (8115, 'S12'), (8790, 'Y6'), (8547, 'I5'), (9588, 'M15'), (9002, 'S6'), (9145, 'S6'), (8936, 'X23'), (9548, 'O6'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9685, 'O19'), (10348, 'M9')
N20         | (7410, 'N'), (7935, 'Q24'), (7464, 'S5'), (8051, 'C'), (8906, 'P16'), (7490, 'H15'), (8122, 'Q15'), (8962, 'W19'), (8936, 'X23'), (9325, 'W'), (9682, 'R1'), (9592, 'Q23'), (8115, 'S12'), (8790, 'Y6'), (8547, 'I5'), (9588, 'M15'), (9002, 'S6'), (9145, 'S6'), (10348, 'M9'), (9548, 'O6'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9685, 'O19')
N           | (5531, 'X20'), (7935, 'Q24'), (5593, 'V21'), (8051, 'C'), (8906, 'P16'), (6329, 'W20'), (8122, 'Q15'), (8962, 'W19'), (8936, 'X23'), (9325, 'W'), (9682, 'R1'), (7490, 'H15'), (7464, 'S5'), (8790, 'Y6'), (8547, 'I5'), (9588, 'M15'), (9002, 'S6'), (9145, 'S6'), (10348, 'M9'), (9548, 'O6'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9592, 'Q23'), (8115, 'S12'), (9685, 'O19'), (8286, 'W23')
X20         | (5593, 'V21'), (7935, 'Q24'), (6329, 'W20'), (8051, 'C'), (8906, 'P16'), (7464, 'S5'), (8122, 'Q15'), (8962, 'W19'), (8936, 'X23'), (9325, 'W'), (9682, 'R1'), (7490, 'H15'), (8286, 'W23'), (8790, 'Y6'), (8547, 'I5'), (9588, 'M15'), (9002, 'S6'), (9145, 'S6'), (10348, 'M9'), (9548, 'O6'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9592, 'Q23'), (8115, 'S12'), (9685, 'O19')
V21         | (3869, 'E'), (7935, 'Q24'), (6329, 'W20'), (8051, 'C'), (8906, 'P16'), (7464, 'S5'), (8122, 'Q15'), (8962, 'W19'), (8936, 'X23'), (9325, 'W'), (9682, 'R1'), (8115, 'S12'), (7490, 'H15'), (8790, 'Y6'), (8547, 'I5'), (9588, 'M15'), (9002, 'S6'), (9145, 'S6'), (10348, 'M9'), (9548, 'O6'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9592, 'Q23'), (9685, 'O19'), (8286, 'W23')
E           | (1366, 'Y4'), (2928, 'Z7'), (6329, 'W20'), (3827, 'H14'), (8906, 'P16'), (7490, 'H15'), (7464, 'S5'), (7080, 'V8'), (8936, 'X23'), (9325, 'W'), (9682, 'R1'), (8115, 'S12'), (8286, 'W23'), (8122, 'Q15'), (7691, 'T19'), (8051, 'C'), (7935, 'Q24'), (9145, 'S6'), (10348, 'M9'), (9548, 'O6'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9592, 'Q23'), (9685, 'O19'), (10146, 'F7'), (10562, 'F12'), (8790, 'Y6'), (9402, 'K4'), (8547, 'I5'), (8494, 'K13'), (9588, 'M15'), (8962, 'W19'), (9002, 'S6')
Y4          | (2928, 'Z7'), (3827, 'H14'), (6329, 'W20'), (7080, 'V8'), (8906, 'P16'), (7490, 'H15'), (7464, 'S5'), (7567, 'U'), (8936, 'X23'), (9325, 'W'), (9682, 'R1'), (8115, 'S12'), (8286, 'W23'), (8122, 'Q15'), (7691, 'T19'), (8051, 'C'), (7935, 'Q24'), (9145, 'S6'), (10348, 'M9'), (9548, 'O6'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9592, 'Q23'), (9685, 'O19'), (10146, 'F7'), (10562, 'F12'), (8790, 'Y6'), (9402, 'K4'), (8547, 'I5'), (8494, 'K13'), (9588, 'M15'), (8962, 'W19'), (9002, 'S6')
Z7          | (3827, 'H14'), (7080, 'V8'), (6329, 'W20'), (7567, 'U'), (8906, 'P16'), (7490, 'H15'), (7464, 'S5'), (7935, 'Q24'), (8936, 'X23'), (9325, 'W'), (9682, 'R1'), (8115, 'S12'), (8286, 'W23'), (8122, 'Q15'), (7691, 'T19'), (8051, 'C'), (9002, 'S6'), (9145, 'S6'), (10348, 'M9'), (9548, 'O6'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9592, 'Q23'), (9685, 'O19'), (10146, 'F7'), (10562, 'F12'), (8790, 'Y6'), (9402, 'K4'), (8547, 'I5'), (8494, 'K13'), (9588, 'M15'), (8962, 'W19')
H14         | (6329, 'W20'), (7080, 'V8'), (7464, 'S5'), (7567, 'U'), (8906, 'P16'), (7490, 'H15'), (7691, 'T19'), (7935, 'Q24'), (8936, 'X23'), (9325, 'W'), (9682, 'R1'), (8115, 'S12'), (8286, 'W23'), (8122, 'Q15'), (8494, 'K13'), (8051, 'C'), (9002, 'S6'), (9145, 'S6'), (10348, 'M9'), (9548, 'O6'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9592, 'Q23'), (9685, 'O19'), (10146, 'F7'), (10562, 'F12'), (8790, 'Y6'), (9402, 'K4'), (8547, 'I5'), (8962, 'W19'), (9588, 'M15')
W20         | (7080, 'V8'), (7567, 'U'), (7464, 'S5'), (7935, 'Q24'), (8906, 'P16'), (7490, 'H15'), (7691, 'T19'), (8051, 'C'), (8936, 'X23'), (9325, 'W'), (9682, 'R1'), (8115, 'S12'), (8286, 'W23'), (8122, 'Q15'), (8494, 'K13'), (9588, 'M15'), (9002, 'S6'), (9145, 'S6'), (10348, 'M9'), (9548, 'O6'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9592, 'Q23'), (9685, 'O19'), (10146, 'F7'), (10562, 'F12'), (8790, 'Y6'), (9402, 'K4'), (8547, 'I5'), (8962, 'W19')
V8          | (4842, 'A'), (7567, 'U'), (7464, 'S5'), (7935, 'Q24'), (8906, 'P16'), (8115, 'S12'), (7490, 'H15'), (8051, 'C'), (8936, 'X23'), (9325, 'W'), (9682, 'R1'), (8962, 'W19'), (8286, 'W23'), (8122, 'Q15'), (7691, 'T19'), (9588, 'M15'), (9002, 'S6'), (9145, 'S6'), (10348, 'M9'), (9548, 'O6'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9592, 'Q23'), (9685, 'O19'), (10146, 'F7'), (10562, 'F12'), (8790, 'Y6'), (9402, 'K4'), (8547, 'I5'), (8494, 'K13')
A           | (2376, 'F20'), (2879, 'F0'), (7490, 'H15'), (3212, 'C22'), (8906, 'P16'), (8115, 'S12'), (7691, 'T19'), (6116, 'B6'), (4106, 'R20'), (9325, 'W'), (9682, 'R1'), (8962, 'W19'), (8286, 'W23'), (8122, 'Q15'), (8494, 'K13'), (7935, 'Q24'), (7464, 'S5'), (8911, 'H5'), (10348, 'M9'), (9548, 'O6'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9592, 'Q23'), (9685, 'O19'), (10146, 'F7'), (10562, 'F12'), (8790, 'Y6'), (9402, 'K4'), (8547, 'I5'), (8681, 'A17'), (9588, 'M15'), (8051, 'C'), (9002, 'S6'), (7567, 'U'), (9145, 'S6'), (8936, 'X23')
F20         | (2879, 'F0'), (3212, 'C22'), (7490, 'H15'), (4106, 'R20'), (8906, 'P16'), (8115, 'S12'), (7691, 'T19'), (6116, 'B6'), (8911, 'H5'), (9325, 'W'), (9682, 'R1'), (8962, 'W19'), (8286, 'W23'), (8122, 'Q15'), (8494, 'K13'), (7935, 'Q24'), (7464, 'S5'), (8936, 'X23'), (10348, 'M9'), (9548, 'O6'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9592, 'Q23'), (9685, 'O19'), (10146, 'F7'), (10562, 'F12'), (8790, 'Y6'), (9402, 'K4'), (8547, 'I5'), (8681, 'A17'), (9588, 'M15'), (8051, 'C'), (9002, 'S6'), (7567, 'U'), (9145, 'S6')
F0          | (3212, 'C22'), (4106, 'R20'), (7490, 'H15'), (6116, 'B6'), (8906, 'P16'), (8115, 'S12'), (7691, 'T19'), (7464, 'S5'), (8911, 'H5'), (9325, 'W'), (9682, 'R1'), (8962, 'W19'), (8286, 'W23'), (8122, 'Q15'), (8494, 'K13'), (7935, 'Q24'), (7567, 'U'), (8936, 'X23'), (10348, 'M9'), (9548, 'O6'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9592, 'Q23'), (9685, 'O19'), (10146, 'F7'), (10562, 'F12'), (8790, 'Y6'), (9402, 'K4'), (8547, 'I5'), (8681, 'A17'), (9588, 'M15'), (8051, 'C'), (9002, 'S6'), (9145, 'S6')
C22         | (4106, 'R20'), (6116, 'B6'), (7490, 'H15'), (7464, 'S5'), (8906, 'P16'), (8115, 'S12'), (7691, 'T19'), (7567, 'U'), (8911, 'H5'), (9325, 'W'), (9682, 'R1'), (8962, 'W19'), (8286, 'W23'), (8122, 'Q15'), (8494, 'K13'), (7935, 'Q24'), (9002, 'S6'), (8936, 'X23'), (10348, 'M9'), (9548, 'O6'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9592, 'Q23'), (9685, 'O19'), (10146, 'F7'), (10562, 'F12'), (8790, 'Y6'), (9402, 'K4'), (8547, 'I5'), (8681, 'A17'), (9588, 'M15'), (8051, 'C'), (9145, 'S6')
R20         | (6116, 'B6'), (7464, 'S5'), (7490, 'H15'), (7567, 'U'), (8906, 'P16'), (8115, 'S12'), (7691, 'T19'), (7935, 'Q24'), (8911, 'H5'), (9325, 'W'), (9682, 'R1'), (8962, 'W19'), (8286, 'W23'), (8122, 'Q15'), (8494, 'K13'), (8051, 'C'), (8670, 'M'), (8936, 'X23'), (10348, 'M9'), (9548, 'O6'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9592, 'Q23'), (9685, 'O19'), (10146, 'F7'), (10562, 'F12'), (8790, 'Y6'), (9402, 'K4'), (8547, 'I5'), (8681, 'A17'), (9588, 'M15'), (9145, 'S6'), (9002, 'S6'), (9673, 'P')
B6          | (7464, 'S5'), (7567, 'U'), (7490, 'H15'), (7935, 'Q24'), (8906, 'P16'), (8115, 'S12'), (7691, 'T19'), (8051, 'C'), (8911, 'H5'), (9325, 'W'), (9682, 'R1'), (8962, 'W19'), (8286, 'W23'), (8122, 'Q15'), (8494, 'K13'), (9145, 'S6'), (8670, 'M'), (8936, 'X23'), (10348, 'M9'), (9548, 'O6'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9592, 'Q23'), (9685, 'O19'), (10146, 'F7'), (10562, 'F12'), (8790, 'Y6'), (9402, 'K4'), (8547, 'I5'), (8681, 'A17'), (9588, 'M15'), (9673, 'P'), (9002, 'S6')
S5          | (7490, 'H15'), (7567, 'U'), (7691, 'T19'), (7935, 'Q24'), (8906, 'P16'), (8115, 'S12'), (8122, 'Q15'), (8051, 'C'), (8911, 'H5'), (9325, 'W'), (9682, 'R1'), (8962, 'W19'), (8286, 'W23'), (8790, 'Y6'), (8494, 'K13'), (9145, 'S6'), (8670, 'M'), (8936, 'X23'), (10348, 'M9'), (9548, 'O6'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9592, 'Q23'), (9685, 'O19'), (10146, 'F7'), (10562, 'F12'), (9002, 'S6'), (9402, 'K4'), (8547, 'I5'), (8681, 'A17'), (9588, 'M15'), (9673, 'P')
H15         | (7567, 'U'), (7935, 'Q24'), (7691, 'T19'), (8051, 'C'), (8906, 'P16'), (8115, 'S12'), (8122, 'Q15'), (8670, 'M'), (8911, 'H5'), (9325, 'W'), (9682, 'R1'), (8962, 'W19'), (8286, 'W23'), (8790, 'Y6'), (8494, 'K13'), (9145, 'S6'), (9673, 'P'), (8936, 'X23'), (10348, 'M9'), (9548, 'O6'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9592, 'Q23'), (9685, 'O19'), (10146, 'F7'), (10562, 'F12'), (9002, 'S6'), (9402, 'K4'), (8547, 'I5'), (8681, 'A17'), (9588, 'M15')
U           | (2666, 'Z15'), (3060, 'U20'), (8115, 'S12'), (5619, 'W17'), (8906, 'P16'), (8286, 'W23'), (8122, 'Q15'), (7691, 'T19'), (8911, 'H5'), (9325, 'W'), (9682, 'R1'), (8962, 'W19'), (9588, 'M15'), (8790, 'Y6'), (8494, 'K13'), (8051, 'C'), (7935, 'Q24'), (8936, 'X23'), (10348, 'M9'), (9548, 'O6'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9592, 'Q23'), (9685, 'O19'), (10146, 'F7'), (10562, 'F12'), (9002, 'S6'), (9402, 'K4'), (8547, 'I5'), (8681, 'A17'), (9145, 'S6'), (8670, 'M'), (9673, 'P')
Z15         | (3060, 'U20'), (5619, 'W17'), (8115, 'S12'), (7691, 'T19'), (8906, 'P16'), (8286, 'W23'), (8122, 'Q15'), (7935, 'Q24'), (8911, 'H5'), (9325, 'W'), (9682, 'R1'), (8962, 'W19'), (9588, 'M15'), (8790, 'Y6'), (8494, 'K13'), (8051, 'C'), (9673, 'P'), (8936, 'X23'), (10348, 'M9'), (9548, 'O6'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9592, 'Q23'), (9685, 'O19'), (10146, 'F7'), (10562, 'F12'), (9002, 'S6'), (9402, 'K4'), (8547, 'I5'), (8681, 'A17'), (9145, 'S6'), (8670, 'M')
U20         | (5619, 'W17'), (7691, 'T19'), (8115, 'S12'), (7935, 'Q24'), (8906, 'P16'), (8286, 'W23'), (8122, 'Q15'), (8051, 'C'), (8911, 'H5'), (9325, 'W'), (9682, 'R1'), (8962, 'W19'), (9588, 'M15'), (8790, 'Y6'), (8494, 'K13'), (8670, 'M'), (9673, 'P'), (8936, 'X23'), (10348, 'M9'), (9548, 'O6'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9592, 'Q23'), (9685, 'O19'), (10146, 'F7'), (10562, 'F12'), (9002, 'S6'), (9402, 'K4'), (8547, 'I5'), (8681, 'A17'), (9145, 'S6')
W17         | (7691, 'T19'), (7935, 'Q24'), (8115, 'S12'), (8051, 'C'), (8906, 'P16'), (8286, 'W23'), (8122, 'Q15'), (8663, 'M'), (8911, 'H5'), (9325, 'W'), (9682, 'R1'), (8962, 'W19'), (9588, 'M15'), (8790, 'Y6'), (8494, 'K13'), (8670, 'M'), (9673, 'P'), (8936, 'X23'), (10348, 'M9'), (9548, 'O6'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9592, 'Q23'), (9685, 'O19'), (10146, 'F7'), (10562, 'F12'), (9002, 'S6'), (9402, 'K4'), (8547, 'I5'), (8681, 'A17'), (9145, 'S6')
T19         | (7935, 'Q24'), (8051, 'C'), (8115, 'S12'), (8663, 'M'), (8906, 'P16'), (8286, 'W23'), (8122, 'Q15'), (8670, 'M'), (8911, 'H5'), (9325, 'W'), (9682, 'R1'), (8962, 'W19'), (9588, 'M15'), (8790, 'Y6'), (8494, 'K13'), (9145, 'S6'), (9673, 'P'), (8936, 'X23'), (10348, 'M9'), (9548, 'O6'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9592, 'Q23'), (9685, 'O19'), (10146, 'F7'), (10562, 'F12'), (9002, 'S6'), (9402, 'K4'), (8547, 'I5'), (8681, 'A17')
Q24         | (8051, 'C'), (8663, 'M'), (8115, 'S12'), (8670, 'M'), (8906, 'P16'), (8286, 'W23'), (8122, 'Q15'), (8681, 'A17'), (8911, 'H5'), (9325, 'W'), (9682, 'R1'), (8962, 'W19'), (9588, 'M15'), (8790, 'Y6'), (8494, 'K13'), (9145, 'S6'), (9673, 'P'), (8936, 'X23'), (10348, 'M9'), (9548, 'O6'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9592, 'Q23'), (9685, 'O19'), (10146, 'F7'), (10562, 'F12'), (9002, 'S6'), (9402, 'K4'), (8547, 'I5')
C           | (2587, 'E23'), (2841, 'Y5'), (3172, 'C12'), (3824, 'L25'), (3179, 'J5'), (8286, 'W23'), (8115, 'S12'), (8663, 'M'), (6098, 'P21'), (8906, 'P16'), (9682, 'R1'), (8962, 'W19'), (9588, 'M15'), (8790, 'Y6'), (8122, 'Q15'), (9100, 'F23'), (8670, 'M'), (6118, 'N15'), (7490, 'V19'), (9325, 'W'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9592, 'Q23'), (9685, 'O19'), (10146, 'F7'), (10562, 'F12'), (9002, 'S6'), (9402, 'K4'), (8547, 'I5'), (8494, 'K13'), (9325, 'E24'), (9145, 'S6'), (9673, 'P'), (8681, 'A17'), (8936, 'X23'), (8911, 'H5'), (10348, 'M9'), (7677, 'U7'), (9548, 'O6')
E23         | (2841, 'Y5'), (3179, 'J5'), (3172, 'C12'), (3824, 'L25'), (8906, 'P16'), (8286, 'W23'), (8115, 'S12'), (8663, 'M'), (6098, 'P21'), (9325, 'W'), (9682, 'R1'), (8962, 'W19'), (9588, 'M15'), (8790, 'Y6'), (8122, 'Q15'), (9100, 'F23'), (8670, 'M'), (6118, 'N15'), (7490, 'V19'), (9548, 'O6'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9592, 'Q23'), (9685, 'O19'), (10146, 'F7'), (10562, 'F12'), (9002, 'S6'), (9402, 'K4'), (8547, 'I5'), (8494, 'K13'), (9325, 'E24'), (9145, 'S6'), (9673, 'P'), (8681, 'A17'), (8936, 'X23'), (8911, 'H5'), (10348, 'M9'), (7677, 'U7')
Y5          | (3172, 'C12'), (3179, 'J5'), (7677, 'U7'), (3824, 'L25'), (8906, 'P16'), (8286, 'W23'), (8115, 'S12'), (8663, 'M'), (6098, 'P21'), (9325, 'W'), (9682, 'R1'), (8962, 'W19'), (9588, 'M15'), (8790, 'Y6'), (8122, 'Q15'), (9100, 'F23'), (8670, 'M'), (6118, 'N15'), (7490, 'V19'), (9548, 'O6'), (10038, 'W13'), (9863, 'X7'), (10093, 'I9'), (9592, 'Q23'), (9685, 'O19'), (10146, 'F7'), (10562, 'F12'), (9002, 'S6'), (9402, 'K4'), (8547, 'I5'), (8494, 'K13'), (9325, 'E24'), (9145, 'S6'), (9673, 'P'), (8681, 'A17'), (8936, 'X23'), (8911, 'H5'), (10348, 'M9')
