dictionary size=  10000
list element size=  100 

Start value = J  Goal value = P 

Expand Node | Fringe
--------------------
-           | (7197, 'J')
D           | (985, 'Y18'), (1357, 'X18'), (3148, 'O3'), (2302, 'D6'), (4259, 'L16'), (5880, 'V0'), (4536, 'P2'), (2938, 'G12'), (6472, 'S19'), (4876, 'U18'), (4803, 'X6'), (7490, 'H15'), (6485, 'L19'), (6641, 'P18'), (5270, 'R23'), (6198, 'W11'), (3937, 'V3'), (8122, 'Q15'), (10038, 'W13'), (9145, 'S6'), (5184, 'N14'), (5643, 'D13'), (5125, 'Y8'), (9685, 'O19'), (10093, 'I9'), (9863, 'X7'), (9588, 'M15'), (8790, 'Y6'), (6919, 'N20'), (8906, 'P16'), (5332, 'Y9'), (9682, 'R1'), (6406, 'Q2'), (7935, 'Q24')
Y18         | (1357, 'X18'), (2302, 'D6'), (3148, 'O3'), (2938, 'G12'), (4259, 'L16'), (5880, 'V0'), (4536, 'P2'), (3937, 'V3'), (6472, 'S19'), (4876, 'U18'), (4803, 'X6'), (7490, 'H15'), (6485, 'L19'), (6641, 'P18'), (5270, 'R23'), (6198, 'W11'), (7935, 'Q24'), (8122, 'Q15'), (10038, 'W13'), (9145, 'S6'), (5184, 'N14'), (5643, 'D13'), (5125, 'Y8'), (9685, 'O19'), (10093, 'I9'), (9863, 'X7'), (9588, 'M15'), (8790, 'Y6'), (6919, 'N20'), (8906, 'P16'), (5332, 'Y9'), (9682, 'R1'), (6406, 'Q2')
X18         | (2302, 'D6'), (2938, 'G12'), (3148, 'O3'), (3937, 'V3'), (4259, 'L16'), (5880, 'V0'), (4536, 'P2'), (5499, 'L'), (6472, 'S19'), (4876, 'U18'), (4803, 'X6'), (7490, 'H15'), (6485, 'L19'), (6641, 'P18'), (5270, 'R23'), (6198, 'W11'), (7935, 'Q24'), (8122, 'Q15'), (10038, 'W13'), (9145, 'S6'), (5184, 'N14'), (5643, 'D13'), (5125, 'Y8'), (9685, 'O19'), (10093, 'I9'), (9863, 'X7'), (9588, 'M15'), (8790, 'Y6'), (6919, 'N20'), (8906, 'P16'), (5332, 'Y9'), (9682, 'R1'), (6406, 'Q2')
D6          | (2938, 'G12'), (3937, 'V3'), (3148, 'O3'), (5499, 'L'), (4259, 'L16'), (5880, 'V0'), (4536, 'P2'), (6198, 'W11'), (6472, 'S19'), (4876, 'U18'), (4803, 'X6'), (7490, 'H15'), (6485, 'L19'), (6641, 'P18'), (5270, 'R23'), (6406, 'Q2'), (7935, 'Q24'), (8122, 'Q15'), (10038, 'W13'), (9145, 'S6'), (5184, 'N14'), (5643, 'D13'), (5125, 'Y8'), (9685, 'O19'), (10093, 'I9'), (9863, 'X7'), (9588, 'M15'), (8790, 'Y6'), (6919, 'N20'), (8906, 'P16'), (5332, 'Y9'), (9682, 'R1')
G12         | (3148, 'O3'), (3937, 'V3'), (4536, 'P2'), (5499, 'L'), (4259, 'L16'), (5880, 'V0'), (5270, 'R23'), (6198, 'W11'), (6472, 'S19'), (4876, 'U18'), (4803, 'X6'), (7490, 'H15'), (6485, 'L19'), (6641, 'P18'), (5332, 'Y9'), (6406, 'Q2'), (7935, 'Q24'), (8122, 'Q15'), (10038, 'W13'), (9145, 'S6'), (5184, 'N14'), (5643, 'D13'), (5125, 'Y8'), (9685, 'O19'), (10093, 'I9'), (9863, 'X7'), (9588, 'M15'), (8790, 'Y6'), (6919, 'N20'), (8906, 'P16'), (9682, 'R1')
O3          | (3937, 'V3'), (4259, 'L16'), (4536, 'P2'), (5499, 'L'), (4803, 'X6'), (5880, 'V0'), (5270, 'R23'), (6198, 'W11'), (6472, 'S19'), (4876, 'U18'), (5125, 'Y8'), (7490, 'H15'), (6485, 'L19'), (6641, 'P18'), (5332, 'Y9'), (6406, 'Q2'), (7935, 'Q24'), (8122, 'Q15'), (10038, 'W13'), (9145, 'S6'), (5184, 'N14'), (5643, 'D13'), (9682, 'R1'), (9685, 'O19'), (10093, 'I9'), (9863, 'X7'), (9588, 'M15'), (8790, 'Y6'), (6919, 'N20'), (8906, 'P16')
V3          | (459, 'V'), (4803, 'X6'), (4259, 'L16'), (5499, 'L'), (4876, 'U18'), (5880, 'V0'), (4536, 'P2'), (6198, 'W11'), (6472, 'S19'), (5184, 'N14'), (5125, 'Y8'), (7490, 'H15'), (6485, 'L19'), (6641, 'P18'), (5270, 'R23'), (6406, 'Q2'), (7935, 'Q24'), (8122, 'Q15'), (10038, 'W13'), (9145, 'S6'), (8906, 'P16'), (5643, 'D13'), (9682, 'R1'), (9685, 'O19'), (10093, 'I9'), (9863, 'X7'), (9588, 'M15'), (8790, 'Y6'), (6919, 'N20'), (7410, 'N'), (5332, 'Y9')
V           | (1447, 'Y15'), (4259, 'L16'), (4536, 'P2'), (4803, 'X6'), (4876, 'U18'), (5880, 'V0'), (5270, 'R23'), (5499, 'L'), (6472, 'S19'), (5184, 'N14'), (5125, 'Y8'), (7490, 'H15'), (6485, 'L19'), (6641, 'P18'), (5332, 'Y9'), (6198, 'W11'), (7935, 'Q24'), (8122, 'Q15'), (10038, 'W13'), (9145, 'S6'), (8906, 'P16'), (5643, 'D13'), (9682, 'R1'), (9685, 'O19'), (10093, 'I9'), (9863, 'X7'), (9588, 'M15'), (8790, 'Y6'), (6919, 'N20'), (7410, 'N'), (6201, 'X21'), (6406, 'Q2')
Y15         | (4259, 'L16'), (4803, 'X6'), (4536, 'P2'), (5499, 'L'), (4876, 'U18'), (5880, 'V0'), (5270, 'R23'), (6198, 'W11'), (6472, 'S19'), (5184, 'N14'), (5125, 'Y8'), (7490, 'H15'), (6485, 'L19'), (6641, 'P18'), (5332, 'Y9'), (6406, 'Q2'), (7935, 'Q24'), (8122, 'Q15'), (10038, 'W13'), (9145, 'S6'), (8906, 'P16'), (5643, 'D13'), (9682, 'R1'), (9685, 'O19'), (10093, 'I9'), (9863, 'X7'), (9588, 'M15'), (8790, 'Y6'), (6919, 'N20'), (7410, 'N'), (6201, 'X21')
L16         | (4536, 'P2'), (4803, 'X6'), (5270, 'R23'), (5499, 'L'), (4876, 'U18'), (5880, 'V0'), (5332, 'Y9'), (6198, 'W11'), (6472, 'S19'), (5184, 'N14'), (5125, 'Y8'), (7490, 'H15'), (6485, 'L19'), (6641, 'P18'), (6201, 'X21'), (6406, 'Q2'), (7935, 'Q24'), (8122, 'Q15'), (10038, 'W13'), (9145, 'S6'), (8906, 'P16'), (5643, 'D13'), (9682, 'R1'), (9685, 'O19'), (10093, 'I9'), (9863, 'X7'), (9588, 'M15'), (8790, 'Y6'), (6919, 'N20'), (7410, 'N')
P2          | (4803, 'X6'), (4876, 'U18'), (5270, 'R23'), (5499, 'L'), (5125, 'Y8'), (5880, 'V0'), (5332, 'Y9'), (6198, 'W11'), (6472, 'S19'), (5184, 'N14'), (5643, 'D13'), (7490, 'H15'), (6485, 'L19'), (6641, 'P18'), (6201, 'X21'), (6406, 'Q2'), (7935, 'Q24'), (8122, 'Q15'), (10038, 'W13'), (9145, 'S6'), (8906, 'P16'), (7410, 'N'), (9682, 'R1'), (9685, 'O19'), (10093, 'I9'), (9863, 'X7'), (9588, 'M15'), (8790, 'Y6'), (6919, 'N20')
X6          | (4876, 'U18'), (5125, 'Y8'), (5270, 'R23'), (5499, 'L'), (5184, 'N14'), (5880, 'V0'), (5332, 'Y9'), (6198, 'W11'), (6472, 'S19'), (6919, 'N20'), (5643, 'D13'), (7490, 'H15'), (6485, 'L19'), (6029, 'G'), (6201, 'X21'), (6406, 'Q2'), (7935, 'Q24'), (8122, 'Q15'), (10038, 'W13'), (9145, 'S6'), (8906, 'P16'), (7410, 'N'), (9682, 'R1'), (9685, 'O19'), (10093, 'I9'), (9863, 'X7'), (9588, 'M15'), (8790, 'Y6'), (6641, 'P18')
U18         | (5125, 'Y8'), (5184, 'N14'), (5270, 'R23'), (5499, 'L'), (5643, 'D13'), (5880, 'V0'), (5332, 'Y9'), (6198, 'W11'), (6472, 'S19'), (6919, 'N20'), (6641, 'P18'), (7490, 'H15'), (6485, 'L19'), (6029, 'G'), (6201, 'X21'), (6406, 'Q2'), (7935, 'Q24'), (8122, 'Q15'), (10038, 'W13'), (9145, 'S6'), (8906, 'P16'), (7410, 'N'), (9682, 'R1'), (9685, 'O19'), (10093, 'I9'), (9863, 'X7'), (9588, 'M15'), (8790, 'Y6')
Y8          | (5184, 'N14'), (5499, 'L'), (5270, 'R23'), (6198, 'W11'), (5643, 'D13'), (5880, 'V0'), (5332, 'Y9'), (6406, 'Q2'), (6472, 'S19'), (6919, 'N20'), (6641, 'P18'), (7490, 'H15'), (6485, 'L19'), (6029, 'G'), (6201, 'X21'), (8790, 'Y6'), (7935, 'Q24'), (8122, 'Q15'), (10038, 'W13'), (9145, 'S6'), (8906, 'P16'), (7410, 'N'), (9682, 'R1'), (9685, 'O19'), (10093, 'I9'), (9863, 'X7'), (9588, 'M15')
N14         | (5270, 'R23'), (5499, 'L'), (5332, 'Y9'), (6198, 'W11'), (5643, 'D13'), (5852, 'G'), (6029, 'G'), (6406, 'Q2'), (6472, 'S19'), (6919, 'N20'), (6641, 'P18'), (7490, 'H15'), (5880, 'V0'), (9588, 'M15'), (6201, 'X21'), (8790, 'Y6'), (7935, 'Q24'), (8122, 'Q15'), (10038, 'W13'), (9145, 'S6'), (8906, 'P16'), (7410, 'N'), (9682, 'R1'), (9685, 'O19'), (10093, 'I9'), (9863, 'X7'), (6485, 'L19')
R23         | (5332, 'Y9'), (5499, 'L'), (5852, 'G'), (6198, 'W11'), (5643, 'D13'), (5880, 'V0'), (6029, 'G'), (6406, 'Q2'), (6472, 'S19'), (6919, 'N20'), (6641, 'P18'), (7490, 'H15'), (6485, 'L19'), (9588, 'M15'), (6201, 'X21'), (8790, 'Y6'), (7935, 'Q24'), (8122, 'Q15'), (10038, 'W13'), (9145, 'S6'), (8906, 'P16'), (7410, 'N'), (9682, 'R1'), (9685, 'O19'), (10093, 'I9'), (9863, 'X7')
Y9          | (5499, 'L'), (5643, 'D13'), (5852, 'G'), (6198, 'W11'), (6641, 'P18'), (5880, 'V0'), (6029, 'G'), (6406, 'Q2'), (6472, 'S19'), (6919, 'N20'), (7410, 'N'), (7490, 'H15'), (6485, 'L19'), (9588, 'M15'), (6201, 'X21'), (8790, 'Y6'), (7935, 'Q24'), (8122, 'Q15'), (10038, 'W13'), (9145, 'S6'), (8906, 'P16'), (9863, 'X7'), (9682, 'R1'), (9685, 'O19'), (10093, 'I9')
L           | (784, 'Q7'), (6145, 'X10'), (1999, 'N8'), (6198, 'W11'), (6641, 'P18'), (5643, 'D13'), (5530, 'N0'), (6406, 'Q2'), (6472, 'S19'), (6919, 'N20'), (7410, 'N'), (7490, 'H15'), (5852, 'G'), (6029, 'G'), (6201, 'X21'), (7935, 'Q24'), (10093, 'I9'), (8122, 'Q15'), (10038, 'W13'), (9145, 'S6'), (8906, 'P16'), (9863, 'X7'), (9682, 'R1'), (9685, 'O19'), (10348, 'M9'), (6485, 'L19'), (5880, 'V0'), (9588, 'M15'), (9548, 'O6'), (7464, 'S5'), (8115, 'S12'), (8790, 'Y6')
Q7          | (1999, 'N8'), (6145, 'X10'), (5530, 'N0'), (6198, 'W11'), (6641, 'P18'), (5643, 'D13'), (6029, 'G'), (6406, 'Q2'), (6472, 'S19'), (6919, 'N20'), (7410, 'N'), (7490, 'H15'), (5852, 'G'), (8790, 'Y6'), (6201, 'X21'), (7935, 'Q24'), (10093, 'I9'), (8122, 'Q15'), (10038, 'W13'), (9145, 'S6'), (8906, 'P16'), (9863, 'X7'), (9682, 'R1'), (9685, 'O19'), (10348, 'M9'), (6485, 'L19'), (5880, 'V0'), (9588, 'M15'), (9548, 'O6'), (7464, 'S5'), (8115, 'S12')
N8          | (5530, 'N0'), (6145, 'X10'), (5643, 'D13'), (6198, 'W11'), (6641, 'P18'), (5852, 'G'), (6029, 'G'), (6406, 'Q2'), (6472, 'S19'), (6919, 'N20'), (7410, 'N'), (7490, 'H15'), (5880, 'V0'), (8790, 'Y6'), (6201, 'X21'), (7935, 'Q24'), (10093, 'I9'), (8122, 'Q15'), (10038, 'W13'), (9145, 'S6'), (8906, 'P16'), (9863, 'X7'), (9682, 'R1'), (9685, 'O19'), (10348, 'M9'), (6485, 'L19'), (8115, 'S12'), (9588, 'M15'), (9548, 'O6'), (7464, 'S5')
N0          | (5643, 'D13'), (6145, 'X10'), (5852, 'G'), (6198, 'W11'), (6641, 'P18'), (5880, 'V0'), (6029, 'G'), (6406, 'Q2'), (6472, 'S19'), (6919, 'N20'), (7410, 'N'), (7490, 'H15'), (6485, 'L19'), (8790, 'Y6'), (6201, 'X21'), (7935, 'Q24'), (10093, 'I9'), (8122, 'Q15'), (10038, 'W13'), (9145, 'S6'), (8906, 'P16'), (9863, 'X7'), (9682, 'R1'), (9685, 'O19'), (10348, 'M9'), (7464, 'S5'), (8115, 'S12'), (9588, 'M15'), (9548, 'O6')
