dictionary size=  100
list element size=  100 

Start value = B  Goal value = L 

Expand Node | Fringe
--------------------
-           | (45, 'B')
H16         | (274, 'E16'), (292, 'X21'), (286, 'P0'), (299, 'J'), (295, 'K'), (301, 'T22'), (295, 'L4'), (364, 'T'), (316, 'X22')
E16         | (286, 'P0'), (292, 'X21'), (295, 'L4'), (299, 'J'), (295, 'K'), (301, 'T22'), (316, 'X22'), (364, 'T')
P0          | (292, 'X21'), (295, 'K'), (295, 'L4'), (299, 'J'), (364, 'T'), (301, 'T22'), (316, 'X22')
X21         | (295, 'K'), (299, 'J'), (295, 'L4'), (316, 'X22'), (364, 'T'), (301, 'T22')
K           | (259, 'Q2'), (295, 'L4'), (287, 'V25'), (316, 'X22'), (299, 'J'), (340, 'L12'), (301, 'T22'), (358, 'X17'), (339, 'P23'), (364, 'T'), (350, 'S10'), (350, 'T25'), (345, 'U19'), (385, 'M18'), (340, 'X8'), (396, 'N6'), (405, 'Z3')
Q2          | (287, 'V25'), (295, 'L4'), (301, 'T22'), (316, 'X22'), (299, 'J'), (340, 'L12'), (340, 'X8'), (358, 'X17'), (339, 'P23'), (364, 'T'), (350, 'S10'), (350, 'T25'), (345, 'U19'), (385, 'M18'), (405, 'Z3'), (396, 'N6')
V25         | (295, 'L4'), (299, 'J'), (301, 'T22'), (316, 'X22'), (350, 'S10'), (340, 'L12'), (340, 'X8'), (358, 'X17'), (339, 'P23'), (364, 'T'), (396, 'N6'), (350, 'T25'), (345, 'U19'), (385, 'M18'), (405, 'Z3')
L4          | (299, 'J'), (316, 'X22'), (301, 'T22'), (339, 'P23'), (350, 'S10'), (340, 'L12'), (340, 'X8'), (358, 'X17'), (405, 'Z3'), (364, 'T'), (396, 'N6'), (350, 'T25'), (345, 'U19'), (385, 'M18')
J           | (301, 'T22'), (316, 'X22'), (317, 'R3'), (318, 'S17'), (350, 'S10'), (345, 'U19'), (340, 'L12'), (339, 'P23'), (326, 'Y3'), (364, 'T'), (396, 'N6'), (350, 'T25'), (385, 'M18'), (340, 'X8'), (340, 'M20'), (408, 'R4'), (358, 'X17'), (405, 'Z3'), (384, 'T17')
T22         | (316, 'X22'), (318, 'S17'), (317, 'R3'), (326, 'Y3'), (350, 'S10'), (345, 'U19'), (340, 'L12'), (339, 'P23'), (384, 'T17'), (364, 'T'), (396, 'N6'), (350, 'T25'), (385, 'M18'), (340, 'X8'), (340, 'M20'), (408, 'R4'), (358, 'X17'), (405, 'Z3')
