dictionary size=  1000
list element size=  10000 

Start value = I  Goal value = W 

Expand Node | Fringe
--------------------
-           | (53, 'I')
C21         | (19343, 'L19'), (19461, 'H'), (19904, 'V25'), (20435, 'H18'), (20287, 'T4'), (21820, 'T15'), (21147, 'Z20'), (21534, 'G19'), (21377, 'Q11'), (20507, 'V5'), (23171, 'R14'), (24871, 'Q15'), (22902, 'J4'), (21888, 'E25'), (24583, 'C16'), (22305, 'Q8'), (22328, 'H23'), (22303, 'S11'), (25217, 'U15')
L19         | (19461, 'H'), (20287, 'T4'), (19904, 'V25'), (20435, 'H18'), (20507, 'V5'), (21820, 'T15'), (21147, 'Z20'), (21534, 'G19'), (21377, 'Q11'), (25217, 'U15'), (23171, 'R14'), (24871, 'Q15'), (22902, 'J4'), (21888, 'E25'), (24583, 'C16'), (22305, 'Q8'), (22328, 'H23'), (22303, 'S11')
H           | (19904, 'V25'), (20229, 'L22'), (20886, 'Y21'), (20287, 'T4'), (20507, 'V5'), (21147, 'Z20'), (21888, 'E25'), (21534, 'G19'), (20435, 'H18'), (25217, 'U15'), (23171, 'R14'), (21820, 'T15'), (22902, 'J4'), (22303, 'S11'), (24583, 'C16'), (22305, 'Q8'), (22328, 'H23'), (21377, 'Q11'), (22908, 'M17'), (27893, 'P18'), (25410, 'T22'), (26354, 'W19'), (23462, 'X2'), (24871, 'Q15'), (23957, 'Y0'), (28077, 'Z16')
V25         | (20229, 'L22'), (20287, 'T4'), (20886, 'Y21'), (20435, 'H18'), (20507, 'V5'), (21147, 'Z20'), (21888, 'E25'), (21534, 'G19'), (21377, 'Q11'), (25217, 'U15'), (23171, 'R14'), (21820, 'T15'), (22902, 'J4'), (22303, 'S11'), (24583, 'C16'), (22305, 'Q8'), (22328, 'H23'), (28077, 'Z16'), (22908, 'M17'), (27893, 'P18'), (25410, 'T22'), (26354, 'W19'), (23462, 'X2'), (24871, 'Q15'), (23957, 'Y0'), (29545, 'J'), (24469, 'K')
L22         | (20287, 'T4'), (20435, 'H18'), (20886, 'Y21'), (21377, 'Q11'), (20507, 'V5'), (21147, 'Z20'), (21888, 'E25'), (21534, 'G19'), (22908, 'M17'), (25217, 'U15'), (23171, 'R14'), (21820, 'T15'), (22902, 'J4'), (22303, 'S11'), (24583, 'C16'), (22305, 'Q8'), (22328, 'H23'), (28077, 'Z16'), (24469, 'K'), (27893, 'P18'), (25410, 'T22'), (26354, 'W19'), (23462, 'X2'), (24871, 'Q15'), (23957, 'Y0'), (29545, 'J')
T4          | (20435, 'H18'), (20507, 'V5'), (20886, 'Y21'), (21377, 'Q11'), (23171, 'R14'), (21147, 'Z20'), (21888, 'E25'), (21534, 'G19'), (22908, 'M17'), (25217, 'U15'), (23462, 'X2'), (21820, 'T15'), (22902, 'J4'), (22303, 'S11'), (24583, 'C16'), (22305, 'Q8'), (22328, 'H23'), (28077, 'Z16'), (24469, 'K'), (27893, 'P18'), (25410, 'T22'), (26354, 'W19'), (29545, 'J'), (24871, 'Q15'), (23957, 'Y0'), (29306, 'L')
H18         | (20507, 'V5'), (21377, 'Q11'), (20886, 'Y21'), (21534, 'G19'), (23171, 'R14'), (21147, 'Z20'), (21888, 'E25'), (22305, 'Q8'), (22908, 'M17'), (25217, 'U15'), (23462, 'X2'), (21820, 'T15'), (22902, 'J4'), (22303, 'S11'), (24583, 'C16'), (29306, 'L'), (22328, 'H23'), (28077, 'Z16'), (24469, 'K'), (27893, 'P18'), (25410, 'T22'), (26354, 'W19'), (29545, 'J'), (24871, 'Q15'), (23957, 'Y0')
V5          | (20886, 'Y21'), (21377, 'Q11'), (21147, 'Z20'), (21534, 'G19'), (23171, 'R14'), (21820, 'T15'), (21888, 'E25'), (22305, 'Q8'), (22908, 'M17'), (25217, 'U15'), (23462, 'X2'), (23957, 'Y0'), (22902, 'J4'), (22303, 'S11'), (24583, 'C16'), (29306, 'L'), (22328, 'H23'), (28077, 'Z16'), (24469, 'K'), (27893, 'P18'), (25410, 'T22'), (26354, 'W19'), (29545, 'J'), (24871, 'Q15'), (26426, 'T')
Y21         | (21147, 'Z20'), (21377, 'Q11'), (21820, 'T15'), (21534, 'G19'), (23171, 'R14'), (22902, 'J4'), (21888, 'E25'), (22305, 'Q8'), (22908, 'M17'), (25217, 'U15'), (23462, 'X2'), (23957, 'Y0'), (26426, 'T'), (22303, 'S11'), (24583, 'C16'), (29306, 'L'), (22328, 'H23'), (28077, 'Z16'), (24469, 'K'), (27893, 'P18'), (25410, 'T22'), (26354, 'W19'), (29545, 'J'), (24871, 'Q15')
Z20         | (21377, 'Q11'), (21534, 'G19'), (21820, 'T15'), (22305, 'Q8'), (23171, 'R14'), (22902, 'J4'), (21888, 'E25'), (22328, 'H23'), (22908, 'M17'), (25217, 'U15'), (23462, 'X2'), (23957, 'Y0'), (26426, 'T'), (22303, 'S11'), (24583, 'C16'), (29306, 'L'), (24871, 'Q15'), (28077, 'Z16'), (24469, 'K'), (27893, 'P18'), (25410, 'T22'), (26354, 'W19'), (29545, 'J')
Q11         | (21534, 'G19'), (22305, 'Q8'), (21820, 'T15'), (22328, 'H23'), (23171, 'R14'), (22902, 'J4'), (21888, 'E25'), (24871, 'Q15'), (22908, 'M17'), (25217, 'U15'), (23462, 'X2'), (23957, 'Y0'), (26426, 'T'), (22303, 'S11'), (24583, 'C16'), (29306, 'L'), (29545, 'J'), (28077, 'Z16'), (24469, 'K'), (27893, 'P18'), (25410, 'T22'), (26354, 'W19'), (29954, 'G')
G19         | (21820, 'T15'), (22305, 'Q8'), (21888, 'E25'), (22328, 'H23'), (23171, 'R14'), (22902, 'J4'), (22303, 'S11'), (24871, 'Q15'), (22908, 'M17'), (25217, 'U15'), (23462, 'X2'), (23957, 'Y0'), (26426, 'T'), (29954, 'G'), (24583, 'C16'), (29306, 'L'), (29545, 'J'), (28077, 'Z16'), (24469, 'K'), (27893, 'P18'), (25410, 'T22'), (26354, 'W19')
T15         | (21888, 'E25'), (22305, 'Q8'), (22303, 'S11'), (22328, 'H23'), (23171, 'R14'), (22902, 'J4'), (24583, 'C16'), (24871, 'Q15'), (22908, 'M17'), (25217, 'U15'), (23462, 'X2'), (23957, 'Y0'), (26426, 'T'), (29954, 'G'), (26354, 'W19'), (29306, 'L'), (29545, 'J'), (28077, 'Z16'), (24469, 'K'), (27893, 'P18'), (25410, 'T22')
E25         | (22303, 'S11'), (22305, 'Q8'), (22902, 'J4'), (22328, 'H23'), (23171, 'R14'), (23957, 'Y0'), (24583, 'C16'), (24871, 'Q15'), (22908, 'M17'), (25217, 'U15'), (23462, 'X2'), (25410, 'T22'), (26426, 'T'), (29954, 'G'), (26354, 'W19'), (29306, 'L'), (29545, 'J'), (28077, 'Z16'), (24469, 'K'), (27893, 'P18')
