dictionary size=  1000
list element size=  10000 

Start value = I  Goal value = W 

Expand Node | Fringe
--------------------
-           | (53, 'I')
J           | (29754, 'G'), (30083, 'O8'), (29954, 'G'), (30445, 'P20'), (30140, 'P23'), (30338, 'S20'), (30310, 'N0'), (31523, 'V1'), (30649, 'R4'), (30969, 'Y6'), (31306, 'P4'), (31844, 'R5'), (30963, 'T11'), (33975, 'N7'), (30732, 'N11'), (32721, 'X7'), (32471, 'K16'), (33838, 'L3'), (32573, 'Y14'), (31834, 'T24'), (34623, 'U16'), (32808, 'Y13'), (34631, 'S5'), (33787, 'A16'), (36845, 'B1'), (33398, 'E20'), (35719, 'F3'), (39430, 'Z11'), (34228, 'G9'), (34860, 'P19'), (33778, 'O18'), (33904, 'M5'), (36392, 'R22'), (35559, 'W1'), (34059, 'X24'), (34879, 'Z22'), (38434, 'N19'), (35020, 'R25'), (34967, 'N22'), (35226, 'Y9'), (32569, 'U4'), (35669, 'T1'), (38243, 'V10'), (36483, 'O13')
G           | (29954, 'G'), (30083, 'O8'), (30310, 'N0'), (30445, 'P20'), (30118, 'N4'), (30338, 'S20'), (30732, 'N11'), (31523, 'V1'), (30649, 'R4'), (30969, 'Y6'), (30140, 'P23'), (31844, 'R5'), (30963, 'T11'), (33975, 'N7'), (33778, 'O18'), (32721, 'X7'), (32471, 'K16'), (33838, 'L3'), (32573, 'Y14'), (31834, 'T24'), (34623, 'U16'), (31349, 'H10'), (31306, 'P4'), (33787, 'A16'), (32532, 'Z7'), (33398, 'E20'), (35719, 'F3'), (39430, 'Z11'), (34228, 'G9'), (34860, 'P19'), (36483, 'O13'), (33904, 'M5'), (36392, 'R22'), (35559, 'W1'), (34059, 'X24'), (34879, 'Z22'), (38434, 'N19'), (35020, 'R25'), (34967, 'N22'), (35226, 'Y9'), (32569, 'U4'), (35669, 'T1'), (38243, 'V10'), (32808, 'Y13'), (36251, 'I11'), (37938, 'L20'), (34631, 'S5'), (39038, 'Q13'), (34997, 'T7'), (38978, 'X21'), (36845, 'B1')
G           | (30083, 'O8'), (30118, 'N4'), (30310, 'N0'), (30445, 'P20'), (30140, 'P23'), (30338, 'S20'), (30732, 'N11'), (31523, 'V1'), (30649, 'R4'), (30969, 'Y6'), (31306, 'P4'), (31844, 'R5'), (30963, 'T11'), (33975, 'N7'), (33778, 'O18'), (32721, 'X7'), (32471, 'K16'), (33838, 'L3'), (32573, 'Y14'), (31834, 'T24'), (34623, 'U16'), (31349, 'H10'), (34631, 'S5'), (33787, 'A16'), (32532, 'Z7'), (33398, 'E20'), (35719, 'F3'), (39430, 'Z11'), (34228, 'G9'), (34860, 'P19'), (36483, 'O13'), (33904, 'M5'), (36392, 'R22'), (35559, 'W1'), (34059, 'X24'), (34879, 'Z22'), (38434, 'N19'), (35020, 'R25'), (34967, 'N22'), (35226, 'Y9'), (32569, 'U4'), (35669, 'T1'), (38243, 'V10'), (32808, 'Y13'), (36251, 'I11'), (37938, 'L20'), (36845, 'B1'), (39038, 'Q13'), (34997, 'T7'), (38978, 'X21')
O8          | (30118, 'N4'), (30140, 'P23'), (30310, 'N0'), (30445, 'P20'), (30969, 'Y6'), (30338, 'S20'), (30732, 'N11'), (31523, 'V1'), (30649, 'R4'), (31834, 'T24'), (31306, 'P4'), (31844, 'R5'), (30963, 'T11'), (33975, 'N7'), (33778, 'O18'), (32721, 'X7'), (32471, 'K16'), (33838, 'L3'), (32573, 'Y14'), (32569, 'U4'), (34623, 'U16'), (31349, 'H10'), (34631, 'S5'), (33787, 'A16'), (32532, 'Z7'), (33398, 'E20'), (35719, 'F3'), (39430, 'Z11'), (34228, 'G9'), (34860, 'P19'), (36483, 'O13'), (33904, 'M5'), (36392, 'R22'), (35559, 'W1'), (34059, 'X24'), (34879, 'Z22'), (38434, 'N19'), (35020, 'R25'), (34967, 'N22'), (35226, 'Y9'), (38978, 'X21'), (35669, 'T1'), (38243, 'V10'), (32808, 'Y13'), (36251, 'I11'), (37938, 'L20'), (36845, 'B1'), (39038, 'Q13'), (34997, 'T7')
N4          | (30140, 'P23'), (30445, 'P20'), (30310, 'N0'), (30649, 'R4'), (30969, 'Y6'), (30338, 'S20'), (30732, 'N11'), (31523, 'V1'), (32573, 'Y14'), (31834, 'T24'), (31306, 'P4'), (31844, 'R5'), (30963, 'T11'), (33975, 'N7'), (33778, 'O18'), (32721, 'X7'), (32471, 'K16'), (33838, 'L3'), (34967, 'N22'), (32569, 'U4'), (34623, 'U16'), (31349, 'H10'), (34631, 'S5'), (33787, 'A16'), (32532, 'Z7'), (33398, 'E20'), (35719, 'F3'), (39430, 'Z11'), (34228, 'G9'), (34860, 'P19'), (36483, 'O13'), (33904, 'M5'), (36392, 'R22'), (35559, 'W1'), (34059, 'X24'), (34879, 'Z22'), (38434, 'N19'), (35020, 'R25'), (34997, 'T7'), (35226, 'Y9'), (38978, 'X21'), (35669, 'T1'), (38243, 'V10'), (32808, 'Y13'), (36251, 'I11'), (37938, 'L20'), (36845, 'B1'), (39038, 'Q13')
P23         | (30310, 'N0'), (30445, 'P20'), (30338, 'S20'), (30649, 'R4'), (30969, 'Y6'), (30963, 'T11'), (30732, 'N11'), (31523, 'V1'), (32573, 'Y14'), (31834, 'T24'), (31306, 'P4'), (31844, 'R5'), (33398, 'E20'), (33975, 'N7'), (33778, 'O18'), (32721, 'X7'), (32471, 'K16'), (33838, 'L3'), (34967, 'N22'), (32569, 'U4'), (34623, 'U16'), (31349, 'H10'), (34631, 'S5'), (33787, 'A16'), (32532, 'Z7'), (39038, 'Q13'), (35719, 'F3'), (39430, 'Z11'), (34228, 'G9'), (34860, 'P19'), (36483, 'O13'), (33904, 'M5'), (36392, 'R22'), (35559, 'W1'), (34059, 'X24'), (34879, 'Z22'), (38434, 'N19'), (35020, 'R25'), (34997, 'T7'), (35226, 'Y9'), (38978, 'X21'), (35669, 'T1'), (38243, 'V10'), (32808, 'Y13'), (36251, 'I11'), (37938, 'L20'), (36845, 'B1')
N0          | (30338, 'S20'), (30445, 'P20'), (30732, 'N11'), (30649, 'R4'), (30969, 'Y6'), (30963, 'T11'), (33778, 'O18'), (31523, 'V1'), (32573, 'Y14'), (31834, 'T24'), (31306, 'P4'), (31844, 'R5'), (33398, 'E20'), (33975, 'N7'), (34860, 'P19'), (32721, 'X7'), (32471, 'K16'), (33838, 'L3'), (34967, 'N22'), (32569, 'U4'), (34623, 'U16'), (31349, 'H10'), (34631, 'S5'), (33787, 'A16'), (32532, 'Z7'), (39038, 'Q13'), (35719, 'F3'), (39430, 'Z11'), (34228, 'G9'), (36845, 'B1'), (36483, 'O13'), (33904, 'M5'), (36392, 'R22'), (35559, 'W1'), (34059, 'X24'), (34879, 'Z22'), (38434, 'N19'), (35020, 'R25'), (34997, 'T7'), (35226, 'Y9'), (38978, 'X21'), (35669, 'T1'), (38243, 'V10'), (32808, 'Y13'), (36251, 'I11'), (37938, 'L20')
S20         | (30445, 'P20'), (30649, 'R4'), (30732, 'N11'), (31523, 'V1'), (30969, 'Y6'), (30963, 'T11'), (33778, 'O18'), (32471, 'K16'), (32573, 'Y14'), (31834, 'T24'), (31306, 'P4'), (31844, 'R5'), (33398, 'E20'), (33975, 'N7'), (34860, 'P19'), (32721, 'X7'), (34059, 'X24'), (33838, 'L3'), (34967, 'N22'), (32569, 'U4'), (34623, 'U16'), (31349, 'H10'), (34631, 'S5'), (33787, 'A16'), (32532, 'Z7'), (39038, 'Q13'), (35719, 'F3'), (39430, 'Z11'), (34228, 'G9'), (36845, 'B1'), (36483, 'O13'), (33904, 'M5'), (36392, 'R22'), (35559, 'W1'), (37938, 'L20'), (34879, 'Z22'), (38434, 'N19'), (35020, 'R25'), (34997, 'T7'), (35226, 'Y9'), (38978, 'X21'), (35669, 'T1'), (38243, 'V10'), (32808, 'Y13'), (36251, 'I11')
P20         | (30649, 'R4'), (30969, 'Y6'), (30732, 'N11'), (31523, 'V1'), (31306, 'P4'), (30963, 'T11'), (33778, 'O18'), (32471, 'K16'), (32573, 'Y14'), (31834, 'T24'), (31349, 'H10'), (31844, 'R5'), (33398, 'E20'), (33975, 'N7'), (34860, 'P19'), (32721, 'X7'), (34059, 'X24'), (33838, 'L3'), (34967, 'N22'), (32569, 'U4'), (34623, 'U16'), (32808, 'Y13'), (34631, 'S5'), (33787, 'A16'), (32532, 'Z7'), (39038, 'Q13'), (35719, 'F3'), (39430, 'Z11'), (34228, 'G9'), (36845, 'B1'), (36483, 'O13'), (33904, 'M5'), (36392, 'R22'), (35559, 'W1'), (37938, 'L20'), (34879, 'Z22'), (38434, 'N19'), (35020, 'R25'), (34997, 'T7'), (35226, 'Y9'), (38978, 'X21'), (35669, 'T1'), (38243, 'V10'), (36251, 'I11')
R4          | (30732, 'N11'), (30969, 'Y6'), (30963, 'T11'), (31523, 'V1'), (31306, 'P4'), (31844, 'R5'), (33778, 'O18'), (32471, 'K16'), (32573, 'Y14'), (31834, 'T24'), (31349, 'H10'), (32532, 'Z7'), (33398, 'E20'), (33975, 'N7'), (34860, 'P19'), (32721, 'X7'), (34059, 'X24'), (33838, 'L3'), (34967, 'N22'), (32569, 'U4'), (34623, 'U16'), (32808, 'Y13'), (34631, 'S5'), (33787, 'A16'), (36251, 'I11'), (39038, 'Q13'), (35719, 'F3'), (39430, 'Z11'), (34228, 'G9'), (36845, 'B1'), (36483, 'O13'), (33904, 'M5'), (36392, 'R22'), (35559, 'W1'), (37938, 'L20'), (34879, 'Z22'), (38434, 'N19'), (35020, 'R25'), (34997, 'T7'), (35226, 'Y9'), (38978, 'X21'), (35669, 'T1'), (38243, 'V10')
N11         | (30963, 'T11'), (30969, 'Y6'), (31844, 'R5'), (31523, 'V1'), (31306, 'P4'), (32532, 'Z7'), (33778, 'O18'), (32471, 'K16'), (32573, 'Y14'), (31834, 'T24'), (31349, 'H10'), (33787, 'A16'), (33398, 'E20'), (33975, 'N7'), (34860, 'P19'), (32721, 'X7'), (34059, 'X24'), (33838, 'L3'), (34967, 'N22'), (32569, 'U4'), (34623, 'U16'), (32808, 'Y13'), (34631, 'S5'), (38243, 'V10'), (36251, 'I11'), (39038, 'Q13'), (35719, 'F3'), (39430, 'Z11'), (34228, 'G9'), (36845, 'B1'), (36483, 'O13'), (33904, 'M5'), (36392, 'R22'), (35559, 'W1'), (37938, 'L20'), (34879, 'Z22'), (38434, 'N19'), (35020, 'R25'), (34997, 'T7'), (35226, 'Y9'), (38978, 'X21'), (35669, 'T1')
T11         | (30969, 'Y6'), (31306, 'P4'), (31844, 'R5'), (31523, 'V1'), (31349, 'H10'), (32532, 'Z7'), (33778, 'O18'), (32471, 'K16'), (32573, 'Y14'), (31834, 'T24'), (32808, 'Y13'), (33787, 'A16'), (33398, 'E20'), (33975, 'N7'), (34860, 'P19'), (32721, 'X7'), (34059, 'X24'), (33838, 'L3'), (34967, 'N22'), (32569, 'U4'), (34623, 'U16'), (35669, 'T1'), (34631, 'S5'), (38243, 'V10'), (36251, 'I11'), (39038, 'Q13'), (35719, 'F3'), (39430, 'Z11'), (34228, 'G9'), (36845, 'B1'), (36483, 'O13'), (33904, 'M5'), (36392, 'R22'), (35559, 'W1'), (37938, 'L20'), (34879, 'Z22'), (38434, 'N19'), (35020, 'R25'), (34997, 'T7'), (35226, 'Y9'), (38978, 'X21')
Y6          | (31306, 'P4'), (31349, 'H10'), (31844, 'R5'), (31523, 'V1'), (31834, 'T24'), (32532, 'Z7'), (33778, 'O18'), (32471, 'K16'), (32573, 'Y14'), (32569, 'U4'), (32808, 'Y13'), (33787, 'A16'), (33398, 'E20'), (33975, 'N7'), (34860, 'P19'), (32721, 'X7'), (34059, 'X24'), (33838, 'L3'), (34967, 'N22'), (35226, 'Y9'), (34623, 'U16'), (35669, 'T1'), (34631, 'S5'), (38243, 'V10'), (36251, 'I11'), (39038, 'Q13'), (35719, 'F3'), (39430, 'Z11'), (34228, 'G9'), (36845, 'B1'), (36483, 'O13'), (33904, 'M5'), (36392, 'R22'), (35559, 'W1'), (37938, 'L20'), (34879, 'Z22'), (38434, 'N19'), (35020, 'R25'), (34997, 'T7'), (38978, 'X21')
P4          | (31349, 'H10'), (31523, 'V1'), (31844, 'R5'), (32471, 'K16'), (31834, 'T24'), (32532, 'Z7'), (33778, 'O18'), (32721, 'X7'), (32573, 'Y14'), (32569, 'U4'), (32808, 'Y13'), (33787, 'A16'), (33398, 'E20'), (33975, 'N7'), (34860, 'P19'), (33904, 'M5'), (34059, 'X24'), (33838, 'L3'), (34967, 'N22'), (35226, 'Y9'), (34623, 'U16'), (35669, 'T1'), (34631, 'S5'), (38243, 'V10'), (36251, 'I11'), (39038, 'Q13'), (35719, 'F3'), (39430, 'Z11'), (34228, 'G9'), (36845, 'B1'), (36483, 'O13'), (38978, 'X21'), (36392, 'R22'), (35559, 'W1'), (37938, 'L20'), (34879, 'Z22'), (38434, 'N19'), (35020, 'R25'), (34997, 'T7')
H10         | (31523, 'V1'), (31834, 'T24'), (31844, 'R5'), (32471, 'K16'), (32569, 'U4'), (32532, 'Z7'), (33778, 'O18'), (32721, 'X7'), (32573, 'Y14'), (34623, 'U16'), (32808, 'Y13'), (33787, 'A16'), (33398, 'E20'), (33975, 'N7'), (34860, 'P19'), (33904, 'M5'), (34059, 'X24'), (33838, 'L3'), (34967, 'N22'), (35226, 'Y9'), (34997, 'T7'), (35669, 'T1'), (34631, 'S5'), (38243, 'V10'), (36251, 'I11'), (39038, 'Q13'), (35719, 'F3'), (39430, 'Z11'), (34228, 'G9'), (36845, 'B1'), (36483, 'O13'), (38978, 'X21'), (36392, 'R22'), (35559, 'W1'), (37938, 'L20'), (34879, 'Z22'), (38434, 'N19'), (35020, 'R25')
V1          | (31834, 'T24'), (32471, 'K16'), (31844, 'R5'), (32573, 'Y14'), (32569, 'U4'), (32532, 'Z7'), (33778, 'O18'), (32721, 'X7'), (33838, 'L3'), (34623, 'U16'), (32808, 'Y13'), (33787, 'A16'), (33398, 'E20'), (33975, 'N7'), (34860, 'P19'), (33904, 'M5'), (34059, 'X24'), (34879, 'Z22'), (34967, 'N22'), (35226, 'Y9'), (34997, 'T7'), (35669, 'T1'), (34631, 'S5'), (38243, 'V10'), (36251, 'I11'), (39038, 'Q13'), (35719, 'F3'), (39430, 'Z11'), (34228, 'G9'), (36845, 'B1'), (36483, 'O13'), (38978, 'X21'), (36392, 'R22'), (35559, 'W1'), (37938, 'L20'), (35020, 'R25'), (38434, 'N19'), (37605, 'E'), (39430, 'V')
T24         | (31844, 'R5'), (32471, 'K16'), (32532, 'Z7'), (32573, 'Y14'), (32569, 'U4'), (33398, 'E20'), (33778, 'O18'), (32721, 'X7'), (33838, 'L3'), (34623, 'U16'), (32808, 'Y13'), (33787, 'A16'), (35719, 'F3'), (33975, 'N7'), (34860, 'P19'), (33904, 'M5'), (34059, 'X24'), (34879, 'Z22'), (34967, 'N22'), (35226, 'Y9'), (34997, 'T7'), (35669, 'T1'), (34631, 'S5'), (38243, 'V10'), (36251, 'I11'), (39038, 'Q13'), (39430, 'V'), (39430, 'Z11'), (34228, 'G9'), (36845, 'B1'), (36483, 'O13'), (38978, 'X21'), (36392, 'R22'), (35559, 'W1'), (37938, 'L20'), (35020, 'R25'), (38434, 'N19'), (37605, 'E')
R5          | (32471, 'K16'), (32569, 'U4'), (32532, 'Z7'), (32573, 'Y14'), (32808, 'Y13'), (33398, 'E20'), (33778, 'O18'), (32721, 'X7'), (33838, 'L3'), (34623, 'U16'), (34631, 'S5'), (33787, 'A16'), (35719, 'F3'), (33975, 'N7'), (34860, 'P19'), (33904, 'M5'), (34059, 'X24'), (34879, 'Z22'), (34967, 'N22'), (35226, 'Y9'), (34997, 'T7'), (35669, 'T1'), (37605, 'E'), (38243, 'V10'), (36251, 'I11'), (39038, 'Q13'), (39430, 'V'), (39430, 'Z11'), (34228, 'G9'), (36845, 'B1'), (36483, 'O13'), (38978, 'X21'), (36392, 'R22'), (35559, 'W1'), (37938, 'L20'), (35020, 'R25'), (38434, 'N19')
K16         | (32532, 'Z7'), (32569, 'U4'), (33398, 'E20'), (32573, 'Y14'), (32808, 'Y13'), (33787, 'A16'), (33778, 'O18'), (32721, 'X7'), (33838, 'L3'), (34623, 'U16'), (34631, 'S5'), (36251, 'I11'), (35719, 'F3'), (33975, 'N7'), (34860, 'P19'), (33904, 'M5'), (34059, 'X24'), (34879, 'Z22'), (34967, 'N22'), (35226, 'Y9'), (34997, 'T7'), (35669, 'T1'), (37605, 'E'), (38243, 'V10'), (38434, 'N19'), (39038, 'Q13'), (39430, 'V'), (39430, 'Z11'), (34228, 'G9'), (36845, 'B1'), (36483, 'O13'), (38978, 'X21'), (36392, 'R22'), (35559, 'W1'), (37938, 'L20'), (35020, 'R25')
Z7          | (32569, 'U4'), (32573, 'Y14'), (33398, 'E20'), (32721, 'X7'), (32808, 'Y13'), (33787, 'A16'), (33778, 'O18'), (33904, 'M5'), (33838, 'L3'), (34623, 'U16'), (34631, 'S5'), (36251, 'I11'), (35719, 'F3'), (33975, 'N7'), (34860, 'P19'), (35020, 'R25'), (34059, 'X24'), (34879, 'Z22'), (34967, 'N22'), (35226, 'Y9'), (34997, 'T7'), (35669, 'T1'), (37605, 'E'), (38243, 'V10'), (38434, 'N19'), (39038, 'Q13'), (39430, 'V'), (39430, 'Z11'), (34228, 'G9'), (36845, 'B1'), (36483, 'O13'), (38978, 'X21'), (36392, 'R22'), (35559, 'W1'), (37938, 'L20')
U4          | (32573, 'Y14'), (32721, 'X7'), (33398, 'E20'), (33838, 'L3'), (32808, 'Y13'), (33787, 'A16'), (33778, 'O18'), (33904, 'M5'), (34879, 'Z22'), (34623, 'U16'), (34631, 'S5'), (36251, 'I11'), (35719, 'F3'), (33975, 'N7'), (34860, 'P19'), (35020, 'R25'), (34059, 'X24'), (37938, 'L20'), (34967, 'N22'), (35226, 'Y9'), (34997, 'T7'), (35669, 'T1'), (37605, 'E'), (38243, 'V10'), (38434, 'N19'), (39038, 'Q13'), (39430, 'V'), (39430, 'Z11'), (34228, 'G9'), (36845, 'B1'), (36483, 'O13'), (38978, 'X21'), (36392, 'R22'), (35559, 'W1')
Y14         | (32721, 'X7'), (32808, 'Y13'), (33398, 'E20'), (33838, 'L3'), (34623, 'U16'), (33787, 'A16'), (33778, 'O18'), (33904, 'M5'), (34879, 'Z22'), (34997, 'T7'), (34631, 'S5'), (36251, 'I11'), (35719, 'F3'), (33975, 'N7'), (34860, 'P19'), (35020, 'R25'), (34059, 'X24'), (37938, 'L20'), (34967, 'N22'), (35226, 'Y9'), (35559, 'W1'), (35669, 'T1'), (37605, 'E'), (38243, 'V10'), (38434, 'N19'), (39038, 'Q13'), (39430, 'V'), (39430, 'Z11'), (34228, 'G9'), (36845, 'B1'), (36483, 'O13'), (38978, 'X21'), (36392, 'R22')
X7          | (32808, 'Y13'), (33838, 'L3'), (33398, 'E20'), (33904, 'M5'), (34623, 'U16'), (33787, 'A16'), (33778, 'O18'), (34059, 'X24'), (34879, 'Z22'), (34997, 'T7'), (34631, 'S5'), (36251, 'I11'), (35719, 'F3'), (33975, 'N7'), (34860, 'P19'), (35020, 'R25'), (36392, 'R22'), (37938, 'L20'), (34967, 'N22'), (35226, 'Y9'), (35559, 'W1'), (35669, 'T1'), (37605, 'E'), (38243, 'V10'), (38434, 'N19'), (39038, 'Q13'), (39430, 'V'), (39430, 'Z11'), (34228, 'G9'), (36845, 'B1'), (36483, 'O13'), (38978, 'X21')
Y13         | (33087, 'X'), (33398, 'E20'), (33778, 'O18'), (33838, 'L3'), (34623, 'U16'), (33787, 'A16'), (33975, 'N7'), (33904, 'M5'), (34879, 'Z22'), (34997, 'T7'), (34631, 'S5'), (36251, 'I11'), (35719, 'F3'), (34228, 'G9'), (34860, 'P19'), (34059, 'X24'), (36392, 'R22'), (37938, 'L20'), (34967, 'N22'), (35226, 'Y9'), (35559, 'W1'), (35669, 'T1'), (37605, 'E'), (38243, 'V10'), (38434, 'N19'), (39038, 'Q13'), (39430, 'V'), (39430, 'Z11'), (38978, 'X21'), (36845, 'B1'), (36483, 'O13'), (35020, 'R25')
X           | (33398, 'E20'), (33838, 'L3'), (33778, 'O18'), (33904, 'M5'), (34623, 'U16'), (33787, 'A16'), (33975, 'N7'), (34059, 'X24'), (34879, 'Z22'), (34997, 'T7'), (34631, 'S5'), (36251, 'I11'), (35719, 'F3'), (34228, 'G9'), (34860, 'P19'), (35020, 'R25'), (36392, 'R22'), (37938, 'L20'), (34967, 'N22'), (35226, 'Y9'), (35559, 'W1'), (35669, 'T1'), (37605, 'E'), (38243, 'V10'), (38434, 'N19'), (39038, 'Q13'), (39430, 'V'), (39430, 'Z11'), (38978, 'X21'), (36845, 'B1'), (36483, 'O13'), (43414, 'Y20'), (36341, 'Y25')
E20         | (33516, 'C'), (33778, 'O18'), (33787, 'A16'), (33838, 'L3'), (34623, 'U16'), (35719, 'F3'), (33975, 'N7'), (33904, 'M5'), (34879, 'Z22'), (34997, 'T7'), (34631, 'S5'), (36251, 'I11'), (36341, 'Y25'), (34228, 'G9'), (34860, 'P19'), (34059, 'X24'), (36392, 'R22'), (37938, 'L20'), (34967, 'N22'), (35226, 'Y9'), (35559, 'W1'), (35669, 'T1'), (37605, 'E'), (38243, 'V10'), (38434, 'N19'), (39038, 'Q13'), (39430, 'V'), (39430, 'Z11'), (38978, 'X21'), (36845, 'B1'), (36483, 'O13'), (43414, 'Y20'), (35020, 'R25')
C           | (33527, 'U3'), (33778, 'O18'), (33787, 'A16'), (33838, 'L3'), (34283, 'Y2'), (35719, 'F3'), (33975, 'N7'), (34059, 'X24'), (33904, 'M5'), (34623, 'U16'), (34631, 'S5'), (36251, 'I11'), (36341, 'Y25'), (34228, 'G9'), (34860, 'P19'), (34190, 'G24'), (36392, 'R22'), (37589, 'N10'), (34879, 'Z22'), (34997, 'T7'), (35559, 'W1'), (35669, 'T1'), (37605, 'E'), (38243, 'V10'), (38434, 'N19'), (39038, 'Q13'), (39430, 'V'), (39430, 'Z11'), (38978, 'X21'), (36845, 'B1'), (36483, 'O13'), (43414, 'Y20'), (35020, 'R25'), (36622, 'I1'), (39852, 'J20'), (37938, 'L20'), (37766, 'K8'), (34967, 'N22'), (41984, 'V13'), (38900, 'X3'), (35226, 'Y9'), (36626, 'Y4'), (41902, 'Y11'), (42239, 'Y16')
U3          | (33778, 'O18'), (33838, 'L3'), (33787, 'A16'), (33904, 'M5'), (34283, 'Y2'), (35719, 'F3'), (33975, 'N7'), (34059, 'X24'), (34879, 'Z22'), (34623, 'U16'), (34631, 'S5'), (36251, 'I11'), (36341, 'Y25'), (34228, 'G9'), (34860, 'P19'), (34190, 'G24'), (36392, 'R22'), (37589, 'N10'), (34967, 'N22'), (34997, 'T7'), (35559, 'W1'), (35669, 'T1'), (37605, 'E'), (38243, 'V10'), (38434, 'N19'), (39038, 'Q13'), (39430, 'V'), (39430, 'Z11'), (38978, 'X21'), (36845, 'B1'), (36483, 'O13'), (43414, 'Y20'), (35020, 'R25'), (36622, 'I1'), (39852, 'J20'), (37938, 'L20'), (37766, 'K8'), (42239, 'Y16'), (41984, 'V13'), (38900, 'X3'), (35226, 'Y9'), (36626, 'Y4'), (41902, 'Y11'), (36804, 'D')
O18         | (33787, 'A16'), (33838, 'L3'), (33975, 'N7'), (33904, 'M5'), (34283, 'Y2'), (35719, 'F3'), (34228, 'G9'), (34059, 'X24'), (34879, 'Z22'), (34623, 'U16'), (34631, 'S5'), (36251, 'I11'), (36341, 'Y25'), (36804, 'D'), (34860, 'P19'), (34190, 'G24'), (36392, 'R22'), (37589, 'N10'), (34967, 'N22'), (34997, 'T7'), (35559, 'W1'), (35669, 'T1'), (37605, 'E'), (38243, 'V10'), (38434, 'N19'), (39038, 'Q13'), (39430, 'V'), (39430, 'Z11'), (38978, 'X21'), (36845, 'B1'), (36483, 'O13'), (43414, 'Y20'), (35020, 'R25'), (36622, 'I1'), (39852, 'J20'), (37938, 'L20'), (37766, 'K8'), (42239, 'Y16'), (41984, 'V13'), (38900, 'X3'), (35226, 'Y9'), (36626, 'Y4'), (41902, 'Y11')
A16         | (33838, 'L3'), (33904, 'M5'), (33975, 'N7'), (34059, 'X24'), (34283, 'Y2'), (35719, 'F3'), (34228, 'G9'), (34190, 'G24'), (34879, 'Z22'), (34623, 'U16'), (34631, 'S5'), (36251, 'I11'), (36341, 'Y25'), (36804, 'D'), (34860, 'P19'), (35020, 'R25'), (36392, 'R22'), (37589, 'N10'), (34967, 'N22'), (34997, 'T7'), (35559, 'W1'), (35669, 'T1'), (37605, 'E'), (38243, 'V10'), (38434, 'N19'), (39038, 'Q13'), (39430, 'V'), (39430, 'Z11'), (38978, 'X21'), (36845, 'B1'), (36483, 'O13'), (43414, 'Y20'), (41902, 'Y11'), (36622, 'I1'), (39852, 'J20'), (37938, 'L20'), (37766, 'K8'), (42239, 'Y16'), (41984, 'V13'), (38900, 'X3'), (35226, 'Y9'), (36626, 'Y4')
L3          | (33904, 'M5'), (34059, 'X24'), (33975, 'N7'), (34190, 'G24'), (34283, 'Y2'), (35719, 'F3'), (34228, 'G9'), (35020, 'R25'), (34879, 'Z22'), (34623, 'U16'), (34631, 'S5'), (36251, 'I11'), (36341, 'Y25'), (36804, 'D'), (34860, 'P19'), (36626, 'Y4'), (36392, 'R22'), (37589, 'N10'), (34967, 'N22'), (34997, 'T7'), (35559, 'W1'), (35669, 'T1'), (37605, 'E'), (38243, 'V10'), (38434, 'N19'), (39038, 'Q13'), (39430, 'V'), (39430, 'Z11'), (38978, 'X21'), (36845, 'B1'), (36483, 'O13'), (43414, 'Y20'), (41902, 'Y11'), (36622, 'I1'), (39852, 'J20'), (37938, 'L20'), (37766, 'K8'), (42239, 'Y16'), (41984, 'V13'), (38900, 'X3'), (35226, 'Y9')
M5          | (33975, 'N7'), (34059, 'X24'), (34228, 'G9'), (34190, 'G24'), (34283, 'Y2'), (35719, 'F3'), (34860, 'P19'), (35020, 'R25'), (34879, 'Z22'), (34623, 'U16'), (34631, 'S5'), (36251, 'I11'), (36341, 'Y25'), (36804, 'D'), (35226, 'Y9'), (36626, 'Y4'), (36392, 'R22'), (37589, 'N10'), (34967, 'N22'), (34997, 'T7'), (35559, 'W1'), (35669, 'T1'), (37605, 'E'), (38243, 'V10'), (38434, 'N19'), (39038, 'Q13'), (39430, 'V'), (39430, 'Z11'), (38978, 'X21'), (36845, 'B1'), (36483, 'O13'), (43414, 'Y20'), (41902, 'Y11'), (36622, 'I1'), (39852, 'J20'), (37938, 'L20'), (37766, 'K8'), (42239, 'Y16'), (41984, 'V13'), (38900, 'X3')
N7          | (34059, 'X24'), (34190, 'G24'), (34228, 'G9'), (34879, 'Z22'), (34283, 'Y2'), (35719, 'F3'), (34860, 'P19'), (35020, 'R25'), (34967, 'N22'), (34623, 'U16'), (34631, 'S5'), (36251, 'I11'), (36341, 'Y25'), (36804, 'D'), (35226, 'Y9'), (36626, 'Y4'), (36392, 'R22'), (37589, 'N10'), (38900, 'X3'), (34997, 'T7'), (35559, 'W1'), (35669, 'T1'), (37605, 'E'), (38243, 'V10'), (38434, 'N19'), (39038, 'Q13'), (39430, 'V'), (39430, 'Z11'), (38978, 'X21'), (36845, 'B1'), (36483, 'O13'), (43414, 'Y20'), (41902, 'Y11'), (36622, 'I1'), (39852, 'J20'), (37938, 'L20'), (37766, 'K8'), (42239, 'Y16'), (41984, 'V13')
