dictionary size=  10000
list element size=  1000 

Start value = O  Goal value = K 

Expand Node | Fringe
J14         | (6983, 'R7'), (7099, 'C4'), (8582, 'Z'), (8556, 'T4'), (9747, 'T7'), (11235, 'N21'), (9823, 'I'), (8978, 'E'), (9994, 'X'), (10624, 'S6'), (10063, 'L24'), (12855, 'V9'), (11294, 'E24'), (13676, 'G22'), (11524, 'Q4'), (10892, 'S9'), (9463, 'A'), (12445, 'V')
R7          | (7099, 'C4'), (8556, 'T4'), (8582, 'Z'), (8978, 'E'), (9747, 'T7'), (11235, 'N21'), (9823, 'I'), (9463, 'A'), (9994, 'X'), (10624, 'S6'), (10063, 'L24'), (12855, 'V9'), (11294, 'E24'), (13676, 'G22'), (11524, 'Q4'), (10892, 'S9'), (12445, 'V'), (11927, 'N')
C4          | (8556, 'T4'), (8978, 'E'), (8582, 'Z'), (9463, 'A'), (9747, 'T7'), (11235, 'N21'), (9823, 'I'), (10892, 'S9'), (9994, 'X'), (10624, 'S6'), (10063, 'L24'), (12855, 'V9'), (11294, 'E24'), (13676, 'G22'), (11524, 'Q4'), (11927, 'N'), (12445, 'V')
T4          | (8582, 'Z'), (8978, 'E'), (9823, 'I'), (9463, 'A'), (9747, 'T7'), (11235, 'N21'), (11524, 'Q4'), (10892, 'S9'), (9994, 'X'), (10624, 'S6'), (10063, 'L24'), (12855, 'V9'), (11294, 'E24'), (13676, 'G22'), (12445, 'V'), (11927, 'N')
Z           | (5323, 'Z19'), (8978, 'E'), (9823, 'I'), (9463, 'A'), (9747, 'T7'), (11235, 'N21'), (11524, 'Q4'), (9994, 'X'), (11927, 'N'), (10624, 'S6'), (10063, 'L24'), (12855, 'V9'), (11294, 'E24'), (13676, 'G22'), (12445, 'V'), (11535, 'Z10'), (10892, 'S9')
Z19         | (8978, 'E'), (9463, 'A'), (9823, 'I'), (9994, 'X'), (9747, 'T7'), (11235, 'N21'), (11524, 'Q4'), (10892, 'S9'), (11927, 'N'), (10624, 'S6'), (10063, 'L24'), (12855, 'V9'), (11294, 'E24'), (13676, 'G22'), (12445, 'V'), (11535, 'Z10')
E           | (8856, 'L6'), (9463, 'A'), (9326, 'O24'), (9994, 'X'), (9747, 'T7'), (9823, 'I'), (11524, 'Q4'), (10486, 'E10'), (11442, 'K15'), (10063, 'L24'), (9964, 'O22'), (11235, 'N21'), (11294, 'E24'), (13676, 'G22'), (12445, 'V'), (10892, 'S9'), (13379, 'F22'), (15219, 'K10'), (11927, 'N'), (14764, 'K25'), (10624, 'S6'), (15822, 'O11'), (11535, 'Z10'), (12855, 'V9'), (14758, 'P21'), (11906, 'W23')
L6          | (9326, 'O24'), (9463, 'A'), (9823, 'I'), (9994, 'X'), (9747, 'T7'), (11235, 'N21'), (11524, 'Q4'), (10486, 'E10'), (11442, 'K15'), (10063, 'L24'), (9964, 'O22'), (11906, 'W23'), (11294, 'E24'), (13676, 'G22'), (12445, 'V'), (10892, 'S9'), (13379, 'F22'), (15219, 'K10'), (11927, 'N'), (14764, 'K25'), (10624, 'S6'), (15822, 'O11'), (11535, 'Z10'), (12855, 'V9'), (14758, 'P21')
O24         | (9463, 'A'), (9747, 'T7'), (9823, 'I'), (9994, 'X'), (9964, 'O22'), (10978, 'H'), (11524, 'Q4'), (10486, 'E10'), (11442, 'K15'), (10063, 'L24'), (11535, 'Z10'), (11235, 'N21'), (11294, 'E24'), (13676, 'G22'), (12445, 'V'), (10892, 'S9'), (13379, 'F22'), (15219, 'K10'), (11927, 'N'), (14764, 'K25'), (10624, 'S6'), (15822, 'O11'), (14758, 'P21'), (12855, 'V9'), (11906, 'W23')
A           | (6260, 'X20'), (8490, 'L17'), (8746, 'D6'), (9554, 'X21'), (10063, 'L24'), (9906, 'A25'), (9747, 'T7'), (9833, 'V16'), (11291, 'Z12'), (10624, 'S6'), (11535, 'Z10'), (10978, 'H'), (11294, 'E24'), (10589, 'D16'), (9823, 'I'), (10486, 'E10'), (9964, 'O22'), (11442, 'K15'), (11927, 'N'), (14764, 'K25'), (11906, 'W23'), (15822, 'O11'), (14758, 'P21'), (12855, 'V9'), (11235, 'N21'), (16295, 'B3'), (12897, 'C22'), (13676, 'G22'), (11524, 'Q4'), (12445, 'V'), (10320, 'R18'), (10892, 'S9'), (12932, 'X10'), (13379, 'F22'), (9994, 'X'), (15219, 'K10')
