dictionary size=  100
list element size=  100 

Start value = L  Goal value = N 

Expand Node | Fringe
--------------------
-           | (62, 'L')
Z5          | (142, 'E16'), (176, 'R23'), (150, 'G23'), (177, 'W1'), (186, 'P18'), (177, 'X1'), (170, 'H17'), (183, 'L25'), (188, 'V15'), (187, 'P0'), (218, 'U'), (188, 'A18'), (183, 'H3'), (171, 'Z25'), (185, 'L19'), (223, 'K9'), (203, 'E'), (259, 'Q15'), (229, 'M15'), (244, 'T19'), (187, 'T23'), (227, 'J5'), (234, 'L7'), (207, 'F14'), (191, 'B11'), (189, 'E11'), (216, 'E3'), (213, 'N2'), (190, 'Z24'), (204, 'I17'), (220, 'W5'), (233, 'P2'), (232, 'T1'), (222, 'Y18')
E16         | (150, 'G23'), (176, 'R23'), (170, 'H17'), (177, 'W1'), (186, 'P18'), (177, 'X1'), (171, 'Z25'), (183, 'L25'), (188, 'V15'), (187, 'P0'), (218, 'U'), (188, 'A18'), (183, 'H3'), (190, 'Z24'), (185, 'L19'), (223, 'K9'), (203, 'E'), (259, 'Q15'), (229, 'M15'), (244, 'T19'), (187, 'T23'), (227, 'J5'), (234, 'L7'), (207, 'F14'), (191, 'B11'), (189, 'E11'), (216, 'E3'), (213, 'N2'), (222, 'Y18'), (204, 'I17'), (220, 'W5'), (233, 'P2'), (232, 'T1')
G23         | (170, 'H17'), (176, 'R23'), (171, 'Z25'), (177, 'W1'), (186, 'P18'), (177, 'X1'), (185, 'L19'), (183, 'L25'), (188, 'V15'), (187, 'P0'), (218, 'U'), (188, 'A18'), (183, 'H3'), (190, 'Z24'), (204, 'I17'), (223, 'K9'), (203, 'E'), (259, 'Q15'), (229, 'M15'), (244, 'T19'), (187, 'T23'), (227, 'J5'), (234, 'L7'), (207, 'F14'), (191, 'B11'), (189, 'E11'), (216, 'E3'), (213, 'N2'), (222, 'Y18'), (232, 'T1'), (220, 'W5'), (233, 'P2')
H17         | (171, 'Z25'), (176, 'R23'), (177, 'X1'), (177, 'W1'), (186, 'P18'), (183, 'H3'), (185, 'L19'), (183, 'L25'), (188, 'V15'), (187, 'P0'), (218, 'U'), (188, 'A18'), (189, 'E11'), (190, 'Z24'), (204, 'I17'), (223, 'K9'), (203, 'E'), (259, 'Q15'), (229, 'M15'), (244, 'T19'), (187, 'T23'), (227, 'J5'), (234, 'L7'), (207, 'F14'), (191, 'B11'), (233, 'P2'), (216, 'E3'), (213, 'N2'), (222, 'Y18'), (232, 'T1'), (220, 'W5')
Z25         | (176, 'R23'), (177, 'W1'), (177, 'X1'), (183, 'L25'), (186, 'P18'), (183, 'H3'), (185, 'L19'), (203, 'E'), (188, 'V15'), (187, 'P0'), (218, 'U'), (188, 'A18'), (189, 'E11'), (190, 'Z24'), (204, 'I17'), (223, 'K9'), (220, 'W5'), (259, 'Q15'), (229, 'M15'), (244, 'T19'), (187, 'T23'), (227, 'J5'), (234, 'L7'), (207, 'F14'), (191, 'B11'), (233, 'P2'), (216, 'E3'), (213, 'N2'), (222, 'Y18'), (232, 'T1')
R23         | (177, 'W1'), (183, 'L25'), (177, 'X1'), (188, 'V15'), (186, 'P18'), (183, 'H3'), (185, 'L19'), (203, 'E'), (229, 'M15'), (187, 'P0'), (218, 'U'), (188, 'A18'), (189, 'E11'), (190, 'Z24'), (204, 'I17'), (223, 'K9'), (220, 'W5'), (259, 'Q15'), (232, 'T1'), (244, 'T19'), (187, 'T23'), (227, 'J5'), (234, 'L7'), (207, 'F14'), (191, 'B11'), (233, 'P2'), (216, 'E3'), (213, 'N2'), (222, 'Y18')
W1          | (177, 'X1'), (183, 'L25'), (183, 'H3'), (188, 'V15'), (186, 'P18'), (188, 'A18'), (185, 'L19'), (203, 'E'), (229, 'M15'), (187, 'P0'), (218, 'U'), (191, 'B11'), (189, 'E11'), (190, 'Z24'), (204, 'I17'), (223, 'K9'), (220, 'W5'), (259, 'Q15'), (232, 'T1'), (244, 'T19'), (187, 'T23'), (227, 'J5'), (234, 'L7'), (207, 'F14'), (222, 'Y18'), (233, 'P2'), (216, 'E3'), (213, 'N2'), (210, 'I'), (207, 'O')
X1          | (183, 'H3'), (183, 'L25'), (185, 'L19'), (188, 'V15'), (186, 'P18'), (188, 'A18'), (190, 'Z24'), (203, 'E'), (229, 'M15'), (187, 'P0'), (218, 'U'), (191, 'B11'), (189, 'E11'), (207, 'O'), (204, 'I17'), (223, 'K9'), (220, 'W5'), (259, 'Q15'), (232, 'T1'), (244, 'T19'), (187, 'T23'), (227, 'J5'), (234, 'L7'), (207, 'F14'), (222, 'Y18'), (233, 'P2'), (216, 'E3'), (213, 'N2'), (210, 'I'), (309, 'N')
H3          | (183, 'L25'), (186, 'P18'), (185, 'L19'), (188, 'V15'), (187, 'P0'), (188, 'A18'), (190, 'Z24'), (203, 'E'), (229, 'M15'), (187, 'T23'), (218, 'U'), (191, 'B11'), (189, 'E11'), (207, 'O'), (204, 'I17'), (223, 'K9'), (220, 'W5'), (259, 'Q15'), (232, 'T1'), (244, 'T19'), (309, 'N'), (227, 'J5'), (234, 'L7'), (207, 'F14'), (222, 'Y18'), (233, 'P2'), (216, 'E3'), (213, 'N2'), (210, 'I')
L25         | (185, 'L19'), (186, 'P18'), (188, 'A18'), (188, 'V15'), (187, 'P0'), (189, 'E11'), (190, 'Z24'), (203, 'E'), (229, 'M15'), (187, 'T23'), (218, 'U'), (191, 'B11'), (210, 'I'), (207, 'O'), (204, 'I17'), (223, 'K9'), (220, 'W5'), (259, 'Q15'), (232, 'T1'), (244, 'T19'), (309, 'N'), (227, 'J5'), (234, 'L7'), (207, 'F14'), (222, 'Y18'), (233, 'P2'), (216, 'E3'), (213, 'N2'), (281, 'J')
