dictionary size=  10
list element size=  10 

Start value = M  Goal value = Y 

Expand Node | Fringe
--------------------
-           | (1, 'M')
X           | (18, 'S6'), (19, 'E9'), (18, 'Z13'), (19, 'Q21'), (19, 'J23'), (19, 'C21'), (19, 'R24'), (21, 'M6'), (20, 'J11'), (20, 'U25'), (23, 'Y16'), (25, 'Z18'), (21, 'O8'), (28, 'G'), (26, 'K13'), (25, 'X24'), (23, 'N11'), (29, 'H'), (25, 'K0'), (24, 'W13'), (25, 'Z10'), (25, 'Z12')
S6          | (18, 'Z13'), (19, 'E9'), (19, 'C21'), (19, 'Q21'), (19, 'J23'), (21, 'O8'), (19, 'R24'), (21, 'M6'), (20, 'J11'), (20, 'U25'), (23, 'Y16'), (25, 'Z18'), (25, 'Z12'), (28, 'G'), (26, 'K13'), (25, 'X24'), (23, 'N11'), (29, 'H'), (25, 'K0'), (24, 'W13'), (25, 'Z10'), (24, 'O')
Z13         | (19, 'C21'), (19, 'E9'), (19, 'R24'), (19, 'Q21'), (19, 'J23'), (21, 'O8'), (24, 'O'), (21, 'M6'), (20, 'J11'), (20, 'U25'), (23, 'Y16'), (25, 'Z18'), (25, 'Z12'), (28, 'G'), (26, 'K13'), (25, 'X24'), (23, 'N11'), (29, 'H'), (25, 'K0'), (24, 'W13'), (25, 'Z10')
C21         | (19, 'E9'), (19, 'J23'), (19, 'R24'), (19, 'Q21'), (20, 'U25'), (21, 'O8'), (24, 'O'), (21, 'M6'), (20, 'J11'), (24, 'W13'), (23, 'Y16'), (25, 'Z18'), (25, 'Z12'), (28, 'G'), (26, 'K13'), (25, 'X24'), (23, 'N11'), (29, 'H'), (25, 'K0'), (25, 'Z10')
E9          | (19, 'J23'), (19, 'Q21'), (19, 'R24'), (20, 'J11'), (20, 'U25'), (21, 'O8'), (24, 'O'), (21, 'M6'), (25, 'K0'), (24, 'W13'), (23, 'Y16'), (25, 'Z18'), (25, 'Z12'), (28, 'G'), (26, 'K13'), (25, 'X24'), (23, 'N11'), (29, 'H'), (25, 'Z10')
J23         | (19, 'Q21'), (20, 'J11'), (19, 'R24'), (21, 'M6'), (20, 'U25'), (21, 'O8'), (24, 'O'), (23, 'N11'), (25, 'K0'), (24, 'W13'), (23, 'Y16'), (25, 'Z18'), (25, 'Z12'), (28, 'G'), (26, 'K13'), (25, 'X24'), (25, 'Z10'), (29, 'H')
Q21         | (19, 'R24'), (20, 'J11'), (21, 'O8'), (21, 'M6'), (20, 'U25'), (25, 'Z12'), (24, 'O'), (23, 'N11'), (25, 'K0'), (24, 'W13'), (23, 'Y16'), (25, 'Z18'), (29, 'H'), (28, 'G'), (26, 'K13'), (25, 'X24'), (25, 'Z10'), (27, 'A')
R24         | (20, 'J11'), (20, 'U25'), (21, 'O8'), (21, 'M6'), (23, 'Y16'), (25, 'Z12'), (24, 'O'), (23, 'N11'), (25, 'K0'), (24, 'W13'), (27, 'A'), (25, 'Z18'), (29, 'H'), (28, 'G'), (26, 'K13'), (25, 'X24'), (25, 'Z10'), (28, 'F')
J11         | (20, 'U25'), (21, 'M6'), (21, 'O8'), (23, 'N11'), (23, 'Y16'), (25, 'Z12'), (24, 'O'), (25, 'X24'), (25, 'K0'), (24, 'W13'), (27, 'A'), (25, 'Z18'), (29, 'H'), (28, 'G'), (26, 'K13'), (28, 'F'), (25, 'Z10')
U25         | (21, 'M6'), (23, 'N11'), (21, 'O8'), (25, 'K0'), (23, 'Y16'), (25, 'Z12'), (24, 'O'), (25, 'X24'), (25, 'Z10'), (24, 'W13'), (27, 'A'), (25, 'Z18'), (29, 'H'), (28, 'G'), (26, 'K13'), (28, 'F')
